id_aluno,etapa_ensino,evasao,idade,sexo,estudante_nis,informou_nome_mae,informou_nome_pai,possui_deficiencia,raca_cor,tipo_localizacao_endereco_estudante,situacao_consolidada_no_ano,repetente,frequencia_escolar,notas_medias,nivel_socioeconomico,renda_familiar,distancia_da_escola_km,trabalha,problemas_de_saude,gravidez_na_adolescencia,necessita_assistencia_social,infraestrutura_escolar,pontuacao_risco,evasao_confirmada
38,2° EF,False,17,Masculino,False,True,True,False,Parda,Urbana,Reprovado,False,77.5,7.6,Alto,8624.6,0.6,False,False,False,False,Regular,0.3335724533715926,False
39,9° EF,False,19,Feminino,True,True,False,False,Não declarada,Urbana,Aprovado,False,99.5,9.9,Médio,6247.24,1.6,False,False,False,False,Boa,0.01076040172166425,False
40,6° EF,False,10,Masculino,True,False,False,False,Parda,Urbana,Evadido,False,87.3,9.5,Médio,5809.3,0.4,False,False,False,False,Regular,0.1269727403156385,False
41,2° EF,False,8,Masculino,True,True,True,False,Branca,Urbana,Aprovado,False,81.0,8.1,Alto,4381.98,4.2,False,False,False,False,Boa,0.272596843615495,False
42,6° EF,False,10,Masculino,False,True,True,False,Preta,Urbana,Aprovado,False,98.2,2.1,Médio,3767.63,2.9,False,False,False,False,Boa,0.5796269727403156,True
43,1° EF,False,6,Masculino,True,True,True,False,Branca,Urbana,Aprovado,False,87.3,7.0,Médio,2573.51,2.7,True,False,False,True,Regular,0.30631276901004306,False
44,2° EM,False,8,Feminino,False,True,False,False,Branca,Urbana,Evadido,False,84.5,5.5,Muito baixo,1619.09,1.1,True,True,False,False,Boa,0.4340028694404591,False
45,4° EF,False,12,Masculino,False,False,True,False,Parda,Urbana,Aprovado,False,80.8,7.9,Médio,6200.03,1.2,False,False,True,False,Boa,0.2883787661406026,False
46,8° EF,False,8,Feminino,True,True,True,True,Branca,Urbana,Aprovado,False,82.5,8.4,Alto,7354.15,0.6,False,False,False,False,Boa,0.24031563845050216,False
47,4° EF,False,15,Masculino,False,True,True,False,Parda,Urbana,Aprovado,True,99.3,5.3,Alto,7980.74,3.8,False,False,False,False,Boa,0.34218077474892405,True
48,7° EF,False,17,Masculino,False,True,True,False,Branca,Urbana,Reprovado,False,83.4,6.0,Alto,6916.33,3.3,False,False,False,True,Regular,0.406025824964132,True
49,7° EF,False,16,Masculino,False,True,True,False,Branca,Urbana,Reprovado,False,99.3,3.3,Médio,8293.3,2.7,False,False,False,False,Regular,0.48565279770444775,True
50,3° EF,False,12,Masculino,False,True,True,False,Branca,Rural,Aprovado,False,84.1,5.7,Médio,8978.07,1.9,False,False,False,False,Boa,0.4225251076040173,True
51,3° EM,False,19,Outro,False,True,True,False,Branca,Urbana,Aprovado,False,81.4,7.7,Muito baixo,8809.47,1.6,False,False,False,False,Regular,0.29842180774748917,False
52,1° EM,False,6,Feminino,False,True,True,False,Parda,Urbana,Reprovado,False,79.8,8.6,Baixo,5862.91,2.5,False,True,False,True,Boa,0.24533715925394556,False
53,3° EM,False,14,Feminino,False,True,False,False,Amarela,Urbana,Aprovado,False,86.1,5.1,Médio,2927.57,3.6,False,False,False,False,Regular,0.4512195121951221,False
54,2° EM,False,16,Masculino,True,True,True,False,Parda,Urbana,Aprovado,False,81.6,8.0,Médio,1987.67,2.6,False,True,False,False,Boa,0.2754662840746055,False
55,8° EF,False,6,Outro,False,True,True,False,Parda,Rural,Aprovado,False,92.2,6.1,Muito alto,9066.75,0.9,False,False,False,False,Regular,0.33572453371592537,False
56,2° EM,False,7,Masculino,True,True,True,False,Parda,Urbana,Aprovado,False,81.6,8.0,Médio,3599.06,1.2,False,True,False,True,Regular,0.2754662840746055,False
57,2° EF,False,7,Feminino,False,True,True,False,Branca,Urbana,Aprovado,False,95.3,5.7,Baixo,1410.35,2.5,False,False,False,True,Boa,0.342180774748924,True
58,3° EF,False,6,Masculino,True,True,False,False,Parda,Rural,Aprovado,False,95.3,4.2,Baixo,4258.31,1.1,False,True,False,False,Boa,0.44978479196556675,True
59,1° EF,False,9,Feminino,False,True,True,False,Branca,Urbana,Aprovado,False,82.9,9.8,Baixo,7106.09,1.5,True,False,False,False,Boa,0.137015781922525,False
60,4° EF,False,13,Masculino,False,True,True,False,Parda,Urbana,Evadido,False,93.4,6.7,Médio,8244.24,3.5,False,False,False,True,Boa,0.28407460545193686,False
61,5° EF,False,8,Feminino,True,True,True,False,Amarela,Rural,Aprovado,False,95.9,5.2,Baixo,4948.35,1.7,False,False,True,True,Boa,0.37374461979913914,False
62,4° EF,False,9,Feminino,False,True,True,False,Branca,Urbana,Evadido,False,89.9,5.6,Baixo,3484.52,0.4,False,False,False,False,Regular,0.38809182209469156,False
63,1° EM,False,13,Masculino,True,False,True,False,Branca,Urbana,Aprovado,False,85.0,9.1,Médio,7347.8,4.9,False,False,False,True,Boa,0.17216642754662845,False
64,5° EF,False,11,Feminino,False,True,True,False,Branca,Urbana,Aprovado,False,86.7,6.9,Médio,5157.36,3.1,False,False,False,False,Regular,0.3177905308464849,True
65,4° EF,False,7,Feminino,False,True,True,False,Branca,Urbana,Aprovado,True,94.2,7.7,Baixo,1825.55,1.9,True,False,False,True,Boa,0.20659971305595407,False
66,7° EF,False,6,Feminino,False,False,True,False,Branca,Urbana,Evadido,False,83.2,9.7,Médio,8219.91,2.0,False,False,False,False,Regular,0.14203730272596848,False
67,2° EF,False,8,Feminino,False,True,True,False,Preta,Urbana,Aprovado,True,84.2,9.2,Médio,6369.99,0.1,False,False,False,False,Regular,0.17073170731707324,False
68,1° EM,True,15,Masculino,True,True,True,False,Parda,Rural,Evadido,False,65.0,4.9,Baixo,125.83,2.6,True,False,False,False,Regular,0.6169296987087519,False
69,1° EF,False,11,Feminino,False,True,True,False,Parda,Rural,Reprovado,False,85.8,7.3,Médio,1211.63,1.3,False,False,False,True,Ruim,0.2955523672883788,False
70,3° EM,False,15,Masculino,False,True,True,False,Parda,Urbana,Aprovado,True,75.4,8.2,Médio,1839.05,2.1,False,False,False,False,Boa,0.30559540889526543,False
71,1° EM,False,9,Feminino,True,True,False,False,Parda,Urbana,Aprovado,False,83.9,8.4,Baixo,7695.15,3.6,False,False,False,True,Boa,0.23027259684361545,False
72,3° EF,False,18,Feminino,True,False,False,False,Branca,Urbana,Aprovado,False,85.2,9.0,Baixo,4978.21,2.4,False,False,False,True,Boa,0.17790530846484937,False
73,1° EF,False,8,Feminino,True,True,True,False,Parda,Urbana,Aprovado,False,82.1,3.3,Baixo,3813.7,4.0,True,False,False,True,Regular,0.6090387374461982,False
74,1° EM,False,14,Feminino,False,True,True,False,Parda,Urbana,Aprovado,True,76.3,6.8,Baixo,3127.71,0.6,False,False,False,False,Regular,0.39956958393113345,True
75,9° EF,False,18,Masculino,False,True,True,True,Branca,Urbana,Aprovado,False,88.5,9.5,Baixo,5182.0,0.5,False,False,False,False,Boa,0.11836441893830704,False
76,9° EF,False,15,Masculino,True,True,False,False,Parda,Urbana,Aprovado,False,96.1,7.2,Baixo,1801.71,3.2,False,False,False,True,Ruim,0.2288378766140603,False
77,1° EM,False,9,Masculino,True,True,True,False,Preta,Urbana,Aprovado,False,84.2,8.5,Médio,6061.91,2.1,False,False,False,True,Regular,0.22094691535150643,False
78,1° EF,False,13,Feminino,True,True,True,False,Parda,Urbana,Evadido,False,81.6,5.8,Médio,4174.41,2.5,False,False,False,False,Boa,0.4332855093256816,False
79,5° EF,False,12,Masculino,False,True,True,False,Branca,Urbana,Reprovado,False,82.9,10.0,Médio,7986.15,2.0,False,True,False,False,Regular,0.1226685796269727,False
80,2° EF,False,8,Feminino,True,True,False,False,Branca,Urbana,Aprovado,False,96.0,5.9,Médio,7156.56,2.2,False,False,False,True,Boa,0.32281205164992827,False
81,2° EM,False,14,Masculino,True,True,False,False,Parda,Urbana,Aprovado,False,88.6,3.4,Médio,1285.88,2.7,True,False,False,False,Boa,0.5552367288378767,True
82,8° EF,False,11,Masculino,False,True,False,False,Preta,Rural,Aprovado,False,77.7,7.9,Baixo,2467.36,2.3,False,False,False,False,Regular,0.3106169296987087,False
83,4° EF,False,6,Masculino,False,True,True,True,Branca,Rural,Reprovado,False,92.4,8.8,Baixo,4920.2,1.4,False,False,False,True,Boa,0.14060258249641314,False
84,1° EF,False,17,Feminino,False,True,True,False,Parda,Urbana,Em andamento,False,78.7,7.6,Baixo,6392.9,4.3,False,False,False,False,Boa,0.3249641319942611,False
85,4° EF,False,14,Masculino,False,True,True,False,Branca,Rural,Aprovado,True,73.6,6.2,Médio,6843.1,2.1,False,False,False,False,Regular,0.4619799139167863,True
86,4° EF,False,13,Masculino,False,True,True,False,Parda,Urbana,Aprovado,False,82.1,9.6,Alto,7649.59,1.8,False,False,False,False,Ruim,0.15710186513629848,False
87,9° EF,False,9,Masculino,False,True,True,False,Parda,Urbana,Aprovado,True,79.3,7.1,Alto,1531.96,1.7,False,True,False,False,Boa,0.35652797704447636,False
88,8° EF,False,8,Outro,False,True,True,False,Branca,Urbana,Aprovado,False,90.2,6.0,Médio,1286.82,2.3,False,True,False,False,Regular,0.35724533715925394,False
89,2° EM,False,7,Feminino,True,True,True,False,Preta,Urbana,Aprovado,False,87.7,7.0,Alto,5928.91,1.8,True,False,True,False,Boa,0.30344332855093253,False
90,6° EF,False,19,Masculino,False,True,False,False,Parda,Urbana,Aprovado,False,92.8,5.3,Muito baixo,6912.5,0.0,False,False,True,False,Boa,0.38880918220946925,False
91,2° EF,False,8,Masculino,False,True,True,False,Branca,Urbana,Aprovado,False,88.2,0.9,Baixo,7413.93,1.7,False,True,False,False,Ruim,0.7374461979913917,True
92,9° EF,False,15,Feminino,False,False,True,False,Parda,Urbana,Aprovado,True,86.2,8.4,Médio,2381.36,0.9,True,False,False,False,Ruim,0.21377331420373025,True
93,1° EM,False,8,Feminino,True,True,False,False,Parda,Urbana,Reprovado,False,88.6,6.7,Baixo,8865.84,2.3,False,False,False,False,Regular,0.31850789096126264,False
94,7° EF,False,10,Feminino,False,True,True,False,Parda,Urbana,Reprovado,False,86.6,6.1,Muito baixo,2969.28,2.0,False,False,False,False,Regular,0.3758967001434721,False
95,1° EM,False,16,Masculino,False,True,False,False,Amarela,Rural,Aprovado,False,71.4,8.5,Médio,3135.99,1.3,True,False,False,False,Ruim,0.3127690100430416,False
96,6° EF,False,7,Masculino,True,False,False,False,Branca,Urbana,Aprovado,False,91.8,7.3,Baixo,2369.98,2.9,False,False,False,False,Boa,0.2525107604017217,False
97,7° EF,False,19,Feminino,False,True,True,False,Parda,Urbana,Aprovado,False,98.8,6.9,Muito alto,1484.33,1.9,False,False,True,False,Boa,0.2309899569583931,True
98,6° EF,False,14,Feminino,False,True,False,False,Parda,Urbana,Aprovado,False,86.3,5.7,Baixo,7597.6,1.6,False,False,False,False,Ruim,0.4067431850789097,True
99,1° EF,False,13,Feminino,False,True,True,True,Parda,Urbana,Aprovado,False,86.3,5.5,Muito baixo,1184.41,1.6,True,False,False,False,Boa,0.4210903873744621,False
100,2° EF,False,11,Outro,False,True,False,False,Parda,Urbana,Aprovado,False,72.3,5.8,Médio,4838.42,1.6,False,False,False,False,Regular,0.5000000000000001,False
101,1° EF,False,7,Masculino,False,True,True,False,Preta,Urbana,Aprovado,False,96.7,5.8,Baixo,1872.91,2.5,False,False,False,True,Boa,0.3249641319942611,True
102,8° EF,False,11,Feminino,False,False,False,False,Preta,Urbana,Em andamento,False,97.8,5.9,Médio,1496.68,1.2,False,False,False,False,Boa,0.30989956958393117,False
103,4° EF,False,6,Masculino,True,True,True,False,Parda,Rural,Aprovado,False,94.8,9.1,Alto,8594.04,2.1,False,False,False,False,Boa,0.10186513629842185,False
104,7° EF,False,9,Feminino,False,True,True,False,Preta,Urbana,Aprovado,False,76.6,9.6,Médio,7722.62,1.5,False,False,False,True,Boa,0.1965566714490675,False
105,2° EM,False,10,Masculino,True,True,True,False,Branca,Rural,Reprovado,False,97.0,0.3,Médio,4288.85,1.4,False,False,False,True,Regular,0.7173601147776184,True
106,3° EF,False,16,Feminino,True,True,True,True,Parda,Urbana,Reprovado,False,69.5,2.5,Baixo,4797.05,2.5,False,False,False,False,Boa,0.7568149210903875,True
107,5° EF,False,6,Outro,False,True,False,False,Branca,Urbana,Aprovado,False,86.8,5.8,Alto,8063.29,1.1,False,True,False,False,Regular,0.39598278335724546,True
108,9° EF,False,9,Feminino,True,False,True,False,Parda,Urbana,Evadido,False,88.0,5.0,Médio,7494.81,2.5,False,False,False,False,Boa,0.44476327116212344,False
109,3° EF,False,13,Feminino,True,True,True,False,Parda,Rural,Aprovado,False,95.3,4.1,Baixo,6655.58,2.3,False,False,False,False,Boa,0.45695839311334296,True
110,1° EF,False,11,Masculino,False,True,True,True,Parda,Rural,Aprovado,False,93.4,7.3,Muito baixo,5418.94,3.3,False,True,True,True,Boa,0.24103299856527977,False
111,4° EF,False,17,Feminino,False,True,True,False,Parda,Urbana,Aprovado,False,94.4,7.3,Muito baixo,5987.27,0.2,False,True,False,True,Regular,0.23385939741750358,False
112,2° EF,False,10,Masculino,False,True,True,False,Parda,Urbana,Aprovado,False,96.1,7.1,Baixo,4276.75,3.0,True,False,False,False,Boa,0.2360114777618365,False
113,3° EM,False,6,Masculino,False,True,True,False,Branca,Urbana,Aprovado,False,87.5,5.4,Muito baixo,5351.4,1.7,False,False,False,True,Ruim,0.41965566714490676,False
114,1° EM,False,8,Masculino,False,True,True,False,Branca,Urbana,Aprovado,False,94.0,5.4,Médio,5443.92,0.2,False,False,False,False,Ruim,0.3730272596843615,False
115,8° EF,False,7,Masculino,False,True,True,False,Parda,Rural,Evadido,False,74.2,5.7,Alto,8037.19,1.3,False,False,False,False,Ruim,0.4935437589670014,True
116,2° EM,False,10,Outro,False,True,True,False,Parda,Urbana,Aprovado,False,86.8,3.3,Baixo,2883.34,2.5,False,False,False,True,Boa,0.57532281205165,True
117,1° EM,False,6,Feminino,False,True,False,False,Parda,Urbana,Aprovado,False,70.5,5.1,Baixo,3106.4,1.9,True,False,True,False,Boa,0.5631276901004305,False
118,3° EF,False,9,Masculino,False,True,False,True,Branca,Urbana,Aprovado,False,97.4,9.6,Baixo,2821.8,3.3,False,False,False,True,Boa,0.04734576757532279,False
119,2° EM,False,12,Masculino,False,False,True,False,Parda,Urbana,Aprovado,False,98.6,1.6,Muito baixo,5758.73,1.7,False,False,True,False,Regular,0.6126255380200862,False
120,7° EF,False,9,Masculino,True,True,False,False,Parda,Urbana,Evadido,False,75.3,3.0,Alto,6683.84,2.0,True,False,False,False,Boa,0.6793400286944047,False
121,1° EM,False,6,Masculino,False,True,True,False,Parda,Rural,Reprovado,True,88.7,0.1,Médio,3041.65,1.8,False,False,True,True,Boa,0.7912482065997131,True
122,2° EM,False,13,Masculino,False,True,True,False,Parda,Urbana,Aprovado,False,84.0,1.8,Baixo,6538.71,1.0,False,False,False,False,Boa,0.703012912482066,True
123,4° EF,False,17,Masculino,True,True,True,False,Parda,Rural,Em andamento,False,84.4,5.0,Alto,6148.93,2.0,False,False,False,False,Ruim,0.47058823529411764,True
124,2° EF,False,18,Masculino,False,True,False,False,Branca,Urbana,Evadido,False,86.9,7.5,Médio,3700.26,1.8,True,True,False,False,Boa,0.2733142037302726,True
125,3° EF,True,19,Feminino,False,True,False,False,Não declarada,Urbana,Evadido,False,63.5,5.9,Muito baixo,785.57,3.1,True,True,False,True,Ruim,0.5559540889526543,True
126,6° EF,False,16,Feminino,False,True,True,False,Branca,Urbana,Evadido,False,79.7,6.1,Baixo,8172.51,2.1,False,True,False,True,Regular,0.42539454806312765,True
127,1° EM,True,15,Masculino,True,True,True,False,Branca,Rural,Evadido,True,76.9,0.8,Baixo,1947.24,3.0,False,True,False,True,Ruim,0.8256814921090386,False
128,2° EM,False,15,Outro,True,False,False,False,Parda,Urbana,Aprovado,False,68.5,9.2,Baixo,6753.56,2.1,False,False,False,False,Boa,0.28335724533715934,False
129,1° EF,False,9,Feminino,False,True,False,True,Branca,Urbana,Aprovado,True,90.1,7.6,Alto,8519.72,3.1,False,False,False,False,Regular,0.24318507890961272,True
130,7° EF,False,16,Masculino,False,True,True,False,Parda,Urbana,Aprovado,False,83.8,5.2,Alto,2777.61,1.0,True,False,False,False,Ruim,0.460545193687231,True
131,5° EF,False,10,Feminino,True,True,False,False,Branca,Urbana,Aprovado,False,95.2,1.7,Médio,3935.35,1.3,False,False,False,False,Ruim,0.629842180774749,True
132,3° EF,False,10,Feminino,False,True,False,False,Amarela,Urbana,Em andamento,False,90.1,2.8,Muito baixo,4604.49,3.4,False,False,False,False,Boa,0.5875179340028696,True
133,2° EF,False,15,Masculino,False,True,True,False,Preta,Urbana,Aprovado,False,92.4,10.0,Baixo,2996.92,3.3,False,False,False,False,Boa,0.05451936872309896,True
134,5° EF,False,15,Feminino,False,True,True,False,Parda,Urbana,Aprovado,False,77.0,8.3,Médio,7842.43,2.3,False,False,True,False,Boa,0.28694404591104733,False
135,3° EM,False,6,Feminino,False,True,True,False,Parda,Urbana,Em andamento,False,82.4,8.3,Alto,1804.61,4.0,False,False,False,True,Boa,0.24820659971305586,False
136,4° EF,False,7,Feminino,False,True,False,False,Parda,Urbana,Aprovado,False,99.9,7.2,Alto,3046.89,2.5,False,False,False,True,Boa,0.20157819225251072,True
137,7° EF,False,10,Masculino,False,True,True,False,Parda,Urbana,Aprovado,False,86.5,3.8,Médio,2663.05,3.9,False,False,True,False,Regular,0.5416068866571019,True
138,9° EF,False,14,Masculino,False,True,True,False,Branca,Urbana,Aprovado,False,84.8,5.4,Médio,8743.46,3.5,False,False,False,True,Regular,0.43902439024390244,True
139,5° EF,False,14,Feminino,False,True,True,False,Preta,Urbana,Aprovado,False,96.3,9.2,Baixo,6143.05,3.6,True,False,False,False,Boa,0.08393113342898142,False
140,3° EM,False,17,Outro,True,True,True,False,Parda,Urbana,Evadido,False,70.9,4.6,Médio,6851.79,0.9,False,True,False,False,Boa,0.5961262553802008,True
141,3° EM,False,18,Feminino,False,True,False,False,Branca,Urbana,Em andamento,True,88.7,6.5,Alto,2004.15,2.7,False,False,False,False,Boa,0.3321377331420373,False
142,3° EF,False,11,Feminino,False,True,True,False,Amarela,Rural,Aprovado,False,80.7,8.9,Médio,2686.79,1.9,False,False,True,True,Boa,0.21736011477761835,False
143,6° EF,False,12,Masculino,False,True,True,False,Preta,Urbana,Aprovado,False,85.0,8.8,Médio,7598.91,0.7,False,False,False,True,Regular,0.1936872309899569,True
144,4° EF,False,12,Masculino,True,False,False,False,Preta,Urbana,Aprovado,False,80.4,5.9,Alto,5667.51,3.3,False,False,False,False,Ruim,0.4347202295552367,False
145,4° EF,False,12,Masculino,True,True,True,False,Branca,Urbana,Aprovado,False,71.5,5.3,Médio,1499.28,3.2,False,False,False,False,Boa,0.5416068866571019,True
146,1° EF,False,7,Feminino,False,True,True,False,Parda,Urbana,Reprovado,False,86.2,6.6,Muito baixo,5651.07,1.9,False,True,True,False,Ruim,0.34289813486370163,False
147,8° EF,False,10,Masculino,True,True,True,False,Branca,Urbana,Aprovado,False,94.2,8.4,Médio,4930.98,1.4,False,False,False,False,Boa,0.1563845050215208,False
148,6° EF,False,15,Feminino,False,True,True,False,Indígena,Urbana,Em andamento,False,98.4,6.3,Médio,2365.23,2.1,True,False,False,False,Regular,0.2769010043041607,False
149,1° EF,False,18,Feminino,True,True,False,True,Branca,Urbana,Aprovado,False,90.6,8.1,Muito baixo,5868.58,0.2,False,False,False,True,Boa,0.2037302725968437,False
150,4° EF,False,7,Feminino,True,True,False,True,Branca,Urbana,Aprovado,False,85.5,5.4,Baixo,2525.73,0.7,False,False,False,False,Ruim,0.4340028694404591,True
151,2° EM,False,6,Masculino,False,True,True,False,Parda,Urbana,Evadido,False,93.8,9.4,Médio,7611.36,1.7,False,False,False,True,Boa,0.08751793400286943,False
152,3° EF,False,16,Feminino,False,True,True,False,Parda,Urbana,Reprovado,False,88.1,8.0,Baixo,6072.35,2.6,False,False,False,False,Regular,0.2288378766140603,False
153,2° EF,False,18,Feminino,False,True,True,False,Branca,Urbana,Aprovado,True,85.0,9.6,Alto,8088.81,1.8,False,False,False,False,Ruim,0.1362984218077475,False
154,6° EF,False,6,Feminino,False,True,False,False,Branca,Urbana,Reprovado,False,79.7,4.8,Muito baixo,4526.45,1.4,False,False,False,True,Regular,0.5186513629842181,False
155,3° EM,False,8,Feminino,True,True,True,False,Branca,Urbana,Aprovado,False,94.4,6.7,Médio,5222.38,1.2,False,False,False,True,Boa,0.27690100430416065,False
156,3° EF,False,12,Feminino,True,True,True,False,Branca,Urbana,Aprovado,False,88.0,0.6,Médio,7205.67,4.4,False,False,False,False,Boa,0.7604017216642756,True
157,9° EF,False,9,Masculino,False,True,True,False,Parda,Urbana,Reprovado,False,98.8,9.6,Baixo,5496.39,0.9,False,False,False,True,Ruim,0.0373027259684362,False
158,1° EM,False,10,Masculino,False,True,False,False,Parda,Urbana,Em andamento,False,94.5,8.6,Médio,5701.43,0.2,True,False,False,True,Boa,0.13988522238163562,True
