id_aluno,evasao,sexo,idade,etapa_ensino,renda_familiar,nivel_socioeconomico,frequencia_escolar,notas_medias,repetente,trabalha,trabalho_domestico_excessivo,problemas_de_saude,violencia_domestica,gravidez_na_adolescencia,apoio_familiar,comportamento_em_sala,aceitacao_pelos_pares,necessita_assistencia_social,expectativa_retorno,fator_desencadeador_presente,distancia_da_escola_km,violencia_na_comunidade,engajamento_com_a_escola,infraestrutura_escolar,disponibilidade_material_didatico,flexibilidade_pedagogica,qualidade_pedagogica_percebida,pontuacao_risco,evasao_confirmada
23,True,Feminino,11,3ª série EM,392.65,N7,94.6,6.1,True,True,False,True,False,False,Alto,Regular,Alta,False,Baixa,False,1.9,False,Baixo,Regular,Parcial,Média,Regular,0.4902884049440848,False
24,False,Feminino,12,7º ano,1126.06,N1,97.3,8.0,True,False,False,False,False,False,Médio,Bom,Baixa,True,Alta,False,1.3,False,Alto,Ruim,Parcial,Média,Boa,0.24735138316656863,True
25,True,Masculino,14,5º ano,1655.77,N2,63.9,7.0,False,True,False,False,False,False,Alto,Regular,Média,True,Alta,False,3.1,False,Alto,Boa,Completa,Alta,Boa,0.43893466745144205,True
26,True,Feminino,11,1ª série EM,518.03,N5,95.3,7.2,False,False,True,True,False,True,Alto,Bom,Alta,False,Alta,False,1.8,True,Alto,Boa,Insuficiente,Baixa,Boa,0.14434961742201294,False
27,False,Masculino,11,2ª série EM,722.56,N1,51.8,5.3,True,True,True,False,False,False,Médio,Bom,Baixa,True,Média,True,2.9,True,Moderado,Regular,Completa,Média,Boa,0.714537963507946,False
28,False,Masculino,12,9º ano,1032.8,N2,61.5,5.2,True,False,True,True,False,False,Médio,Bom,Alta,False,Alta,False,0.9,False,Alto,Regular,Completa,Baixa,Boa,0.5289876397881106,False
29,False,Feminino,21,6º ano,727.87,N7,66.9,4.8,True,False,False,False,False,False,Alto,Ruim,Média,False,Média,False,4.1,True,Alto,Regular,Completa,Média,Ruim,0.5228075338434373,True
30,False,Feminino,12,2ª série EM,1308.37,N5,76.8,6.7,False,False,True,False,True,False,Alto,Ruim,Alta,False,Baixa,False,0.9,False,Moderado,Boa,Completa,Média,Ruim,0.542377869334903,False
31,False,Feminino,11,5º ano,506.8,N5,89.5,7.0,False,False,True,False,False,False,Médio,Bom,Baixa,True,Alta,False,1.8,True,Alto,Regular,Completa,Alta,Regular,0.17878163625662155,False
32,False,Feminino,17,6º ano,1205.33,N6,73.9,5.1,True,False,False,False,False,False,Alto,Regular,Alta,True,Média,False,3.5,False,Alto,Boa,Completa,Alta,Boa,0.4786639199529135,False
33,True,Feminino,13,5º ano,854.12,N4,84.8,6.4,False,False,False,False,False,False,Baixo,Bom,Baixa,False,Alta,False,2.1,False,Baixo,Boa,Parcial,Baixa,Regular,0.22601530311948206,True
34,False,Masculino,16,8º ano,784.26,N5,54.0,4.7,False,False,False,False,True,False,Médio,Bom,Alta,True,Alta,True,1.3,False,Alto,Boa,Completa,Média,Ruim,0.731312536786345,True
35,False,Feminino,13,1ª série EM,954.12,N5,95.8,6.9,False,False,False,False,False,False,Médio,Bom,Baixa,True,Média,False,3.2,False,Alto,Boa,Insuficiente,Baixa,Ruim,0.1553855208946439,False
36,False,Feminino,22,1ª série EM,730.42,N6,96.1,9.4,False,False,False,False,False,False,Médio,Bom,Alta,False,Alta,False,3.9,True,Moderado,Boa,Completa,Média,Regular,0.04370217775161861,False
37,True,Masculino,18,9º ano,258.7,N6,97.4,6.2,False,False,True,False,False,False,Alto,Ruim,Média,False,Média,False,2.0,False,Moderado,Boa,Parcial,Alta,Regular,0.17922307239552676,False
38,True,Feminino,11,5º ano,960.59,N6,58.5,6.4,True,False,False,False,False,False,Alto,Bom,Alta,False,Alta,False,1.4,False,Moderado,Regular,Completa,Alta,Boa,0.48925838728663923,False
39,True,Masculino,20,6º ano,651.32,N1,62.5,6.6,False,True,False,False,False,False,Alto,Bom,Baixa,False,Média,False,3.6,True,Baixo,Boa,Parcial,Baixa,Regular,0.4627722189523249,False
40,False,Masculino,17,5º ano,636.27,N1,72.9,4.2,False,False,False,False,False,True,Alto,Bom,Média,False,Alta,False,2.8,False,Alto,Ruim,Parcial,Média,Ruim,0.3756621542083578,False
41,True,Masculino,18,9º ano,761.91,N2,93.9,7.3,False,True,True,False,False,False,Alto,Regular,Alta,False,Baixa,False,1.6,True,Alto,Boa,Parcial,Média,Boa,0.2932607416127133,False
42,True,Feminino,19,7º ano,396.2,N6,70.8,4.9,False,False,False,False,False,False,Médio,Regular,Alta,True,Alta,False,1.4,False,Alto,Boa,Parcial,Alta,Boa,0.3540317834020012,True
43,True,Outro,19,3ª série EM,1267.52,N1,76.2,4.4,False,False,False,False,False,False,Médio,Bom,Baixa,False,Alta,False,3.8,False,Alto,Ruim,Completa,Alta,Boa,0.3522660388463802,True
44,True,Feminino,12,6º ano,956.74,N5,77.6,6.6,False,True,True,False,False,False,Médio,Bom,Média,True,Alta,False,1.1,True,Moderado,Regular,Completa,Média,Ruim,0.3961153619776339,True
45,True,Feminino,22,8º ano,555.57,N6,57.3,9.0,True,True,False,False,False,False,Médio,Bom,Média,False,Média,False,2.6,True,Moderado,Boa,Completa,Alta,Boa,0.5269276044732195,True
46,False,Feminino,16,6º ano,964.07,N4,70.8,4.4,False,False,False,False,False,False,Médio,Bom,Média,False,Alta,False,1.6,True,Moderado,Regular,Completa,Média,Ruim,0.3761035903472631,False
47,False,Masculino,20,6º ano,545.0,N4,51.3,6.5,True,False,False,False,False,False,Alto,Regular,Alta,False,Média,False,2.6,False,Alto,Ruim,Parcial,Média,Regular,0.5166274278987639,False
48,True,Feminino,18,3ª série EM,972.31,N3,66.2,6.4,False,True,False,False,False,False,Médio,Bom,Alta,False,Baixa,False,0.6,False,Moderado,Boa,Parcial,Média,Boa,0.45526780459093585,False
49,True,Masculino,12,3ª série EM,450.59,N6,97.8,7.9,False,False,False,False,False,False,Baixo,Ruim,Alta,False,Baixa,False,1.0,False,Alto,Regular,Completa,Alta,Ruim,0.1024131842260153,False
50,False,Feminino,19,5º ano,547.12,N5,98.7,5.8,False,False,False,False,False,False,Alto,Ruim,Média,False,Média,False,1.9,False,Alto,Boa,Completa,Alta,Boa,0.1911418481459682,False
51,True,Outro,11,2ª série EM,662.46,N3,77.8,5.6,False,False,False,False,False,False,Médio,Regular,Média,False,Alta,False,1.6,True,Alto,Boa,Insuficiente,Alta,Boa,0.29223072395526783,True
52,True,Feminino,13,6º ano,577.28,N1,72.1,7.5,True,False,False,True,False,False,Alto,Bom,Alta,False,Alta,False,3.2,False,Alto,Regular,Completa,Média,Regular,0.38066509711595065,False
53,False,Feminino,22,3ª série EM,1005.32,N3,52.3,4.0,False,False,False,False,False,False,Alto,Ruim,Baixa,False,Baixa,False,1.8,False,Moderado,Boa,Completa,Alta,Boa,0.47542672160094174,True
54,False,Masculino,16,2ª série EM,991.34,N4,95.5,7.4,False,False,False,False,False,False,Baixo,Regular,Média,False,Alta,False,3.3,False,Alto,Boa,Parcial,Alta,Boa,0.13463802236609768,False
55,False,Masculino,10,8º ano,1182.78,N6,77.2,8.8,True,False,False,False,False,False,Alto,Bom,Baixa,False,Média,False,0.2,False,Baixo,Boa,Insuficiente,Média,Ruim,0.30076515597410236,False
56,False,Masculino,20,1ª série EM,629.56,N3,55.3,7.9,False,False,False,False,False,False,Médio,Bom,Média,False,Alta,False,2.1,False,Alto,Regular,Parcial,Alta,Boa,0.2900235432607416,False
57,False,Feminino,12,6º ano,457.38,N1,58.3,7.9,False,False,False,False,False,False,Baixo,Regular,Baixa,False,Alta,False,3.2,True,Baixo,Boa,Parcial,Média,Boa,0.27678045909358445,True
58,False,Masculino,22,7º ano,790.36,N3,74.2,5.0,False,False,False,False,False,False,Médio,Bom,Baixa,True,Média,False,1.3,False,Baixo,Boa,Insuficiente,Média,Boa,0.3346085932901707,False
59,False,Masculino,17,8º ano,350.32,N5,98.3,6.7,True,True,False,False,False,False,Médio,Bom,Alta,True,Alta,False,2.4,False,Moderado,Ruim,Parcial,Média,Boa,0.4474690994702767,True
60,False,Feminino,12,3ª série EM,931.8,N6,80.2,7.8,True,False,False,False,False,False,Médio,Regular,Média,False,Média,False,0.7,False,Moderado,Boa,Completa,Baixa,Boa,0.3316656856974691,False
61,False,Feminino,13,6º ano,1545.86,N5,85.1,7.6,False,False,False,False,False,False,Alto,Regular,Média,False,Alta,False,0.7,True,Moderado,Regular,Completa,Média,Regular,0.17171865803413777,False
62,False,Masculino,13,6º ano,1415.14,N6,86.7,5.7,True,False,False,False,False,False,Médio,Bom,Alta,False,Média,False,3.2,False,Baixo,Boa,Completa,Alta,Regular,0.39567392583872874,True
63,False,Feminino,18,5º ano,560.87,N7,91.9,7.7,False,False,True,True,True,False,Médio,Regular,Média,True,Alta,False,4.0,False,Alto,Boa,Completa,Média,Boa,0.43157739846968807,False
64,True,Feminino,12,2ª série EM,375.42,N1,50.8,4.4,False,False,False,False,False,False,Médio,Bom,Média,False,Alta,False,2.1,False,Moderado,Boa,Completa,Baixa,Ruim,0.4643908181283108,False
65,False,Feminino,15,5º ano,551.75,N7,90.0,5.9,True,True,False,False,False,False,Baixo,Bom,Alta,False,Baixa,False,1.7,False,Moderado,Boa,Completa,Média,Boa,0.5194231901118305,True
66,True,Masculino,17,9º ano,366.38,N3,90.1,8.9,False,False,False,False,False,False,Médio,Bom,Alta,False,Alta,False,1.8,False,Alto,Boa,Completa,Baixa,Boa,0.09226015303119484,False
67,True,Feminino,18,8º ano,684.93,N5,75.3,6.2,False,True,False,False,False,False,Alto,Regular,Média,False,Média,False,2.7,False,Moderado,Ruim,Completa,Alta,Regular,0.42392583872866396,False
68,False,Feminino,15,1ª série EM,1111.66,N2,60.5,5.4,False,False,True,True,False,False,Baixo,Ruim,Alta,False,Alta,False,2.2,False,Alto,Boa,Completa,Alta,Regular,0.37742789876397875,True
69,False,Feminino,12,1ª série EM,1483.08,N2,83.2,5.7,False,False,False,True,False,False,Médio,Bom,Alta,False,Baixa,False,1.8,False,Alto,Boa,Parcial,Média,Ruim,0.26397881106533255,True
70,False,Masculino,19,3ª série EM,571.93,N2,62.0,5.9,False,False,False,False,False,False,Médio,Bom,Baixa,True,Alta,False,2.4,False,Moderado,Boa,Completa,Baixa,Boa,0.3487345497351383,False
71,True,Feminino,13,7º ano,1165.72,N7,78.5,4.9,True,False,False,False,False,False,Médio,Bom,Média,True,Alta,True,0.9,False,Alto,Boa,Parcial,Baixa,Boa,0.4671865803413773,False
72,True,Masculino,14,8º ano,777.37,N6,59.5,5.9,True,False,False,False,False,True,Alto,Regular,Alta,False,Baixa,False,0.3,True,Alto,Boa,Insuficiente,Média,Boa,0.5069158328428488,False
73,True,Masculino,20,7º ano,834.62,N1,69.5,7.5,False,False,False,False,False,False,Baixo,Bom,Baixa,True,Média,False,3.1,False,Moderado,Boa,Completa,Alta,Regular,0.24499705709240727,False
74,True,Masculino,17,9º ano,558.81,N2,72.2,3.5,False,False,False,False,False,True,Alto,Regular,Alta,False,Alta,False,2.6,True,Alto,Ruim,Parcial,Alta,Regular,0.4096527369040612,False
75,True,Feminino,19,2ª série EM,388.9,N6,61.8,4.8,False,False,False,False,False,False,Baixo,Bom,Alta,False,Baixa,False,0.8,False,Baixo,Ruim,Completa,Média,Regular,0.39817539729252505,True
76,False,Masculino,13,9º ano,835.32,N1,86.8,9.9,False,False,False,False,False,False,Baixo,Bom,Média,False,Alta,False,1.1,True,Alto,Regular,Parcial,Média,Boa,0.06268393172454385,False
77,False,Masculino,17,3ª série EM,698.37,N7,59.8,8.1,False,False,False,False,False,False,Baixo,Regular,Alta,False,Alta,False,3.5,False,Alto,Regular,Parcial,Baixa,Ruim,0.2613301942319011,False
78,True,Masculino,16,7º ano,210.81,N2,82.9,5.9,False,False,False,False,False,False,Médio,Bom,Alta,False,Alta,False,1.2,True,Baixo,Regular,Completa,Média,Regular,0.25647439670394345,False
79,False,Feminino,12,7º ano,662.65,N4,57.7,5.6,True,False,False,False,False,False,Baixo,Ruim,Alta,True,Baixa,False,0.5,False,Alto,Boa,Completa,Média,Ruim,0.5281047675103002,True
80,False,Feminino,18,5º ano,271.35,N6,63.6,2.7,False,False,False,False,False,False,Médio,Regular,Alta,True,Alta,False,1.7,False,Alto,Boa,Insuficiente,Média,Boa,0.4829311359623308,True
81,False,Masculino,10,1ª série EM,554.01,N6,71.0,5.2,False,False,False,False,False,False,Alto,Bom,Média,False,Média,False,2.0,True,Alto,Boa,Completa,Alta,Boa,0.33990582695703353,False
82,False,Masculino,15,8º ano,877.64,N6,69.8,8.1,False,True,False,False,False,False,Médio,Bom,Alta,False,Média,False,4.0,False,Baixo,Regular,Parcial,Média,Boa,0.3643319599764568,False
83,True,Feminino,19,5º ano,4741.23,N5,52.9,5.6,False,True,False,False,False,False,Médio,Bom,Alta,True,Média,True,3.2,False,Alto,Ruim,Completa,Alta,Regular,0.5492937021777515,True
84,True,Masculino,20,3ª série EM,772.93,N2,79.6,4.6,False,False,False,False,False,False,Médio,Bom,Alta,True,Média,False,2.1,True,Baixo,Boa,Completa,Alta,Boa,0.3284284873454974,False
85,True,Feminino,10,5º ano,2062.27,N3,90.7,4.9,False,True,False,False,False,False,Alto,Bom,Baixa,False,Baixa,False,2.5,True,Moderado,Ruim,Parcial,Média,Boa,0.4133313713949382,False
86,True,Feminino,15,9º ano,1095.12,N6,82.6,5.1,False,False,False,False,False,False,Alto,Bom,Média,False,Alta,True,0.8,False,Alto,Ruim,Insuficiente,Alta,Regular,0.29311359623307837,True
87,True,Feminino,22,6º ano,712.53,N5,88.3,4.5,False,False,False,True,False,False,Médio,Bom,Baixa,False,Média,False,2.8,False,Alto,Boa,Completa,Alta,Boa,0.294437904649794,False
88,True,Feminino,16,5º ano,960.73,N5,52.9,8.3,False,True,False,False,False,False,Alto,Bom,Alta,True,Alta,False,1.8,False,Moderado,Boa,Insuficiente,Alta,Ruim,0.4301059446733373,False
89,False,Feminino,12,8º ano,327.87,N5,55.1,8.4,False,False,False,False,False,False,Médio,Ruim,Alta,False,Baixa,False,1.6,False,Alto,Ruim,Completa,Média,Boa,0.2688346085932901,False
90,True,Feminino,12,1ª série EM,688.85,N3,96.9,6.9,False,True,False,False,False,False,Médio,Regular,Média,True,Alta,False,1.1,False,Moderado,Boa,Completa,Média,Boa,0.2976751030017657,False
91,False,Masculino,16,8º ano,593.54,N2,93.5,5.4,False,False,False,False,False,False,Médio,Bom,Alta,False,Média,False,0.4,False,Moderado,Boa,Completa,Baixa,Boa,0.2317539729252501,False
92,True,Feminino,22,9º ano,961.35,N1,97.8,3.8,False,False,False,False,False,False,Médio,Bom,Alta,False,Baixa,False,0.1,False,Moderado,Boa,Parcial,Alta,Boa,0.283402001177163,True
93,True,Masculino,18,9º ano,548.94,N2,53.4,7.2,False,True,False,False,False,False,Baixo,Ruim,Baixa,True,Média,False,0.8,False,Baixo,Ruim,Parcial,Média,Boa,0.4764567392583873,False
94,True,Masculino,14,1ª série EM,945.98,N6,95.9,7.4,True,True,False,False,False,False,Baixo,Ruim,Alta,False,Alta,False,2.6,False,Alto,Boa,Completa,Média,Boa,0.4271630370806357,True
95,False,Masculino,22,3ª série EM,606.47,N4,77.1,6.7,False,False,False,False,False,False,Alto,Bom,Média,False,Alta,False,2.4,False,Moderado,Boa,Completa,Média,Regular,0.24676280164802827,False
96,True,Masculino,17,8º ano,589.29,N6,97.9,6.9,False,True,True,True,True,False,Médio,Bom,Média,False,Alta,False,0.6,False,Moderado,Boa,Completa,Alta,Boa,0.5875515008828722,True
97,False,Feminino,22,2ª série EM,854.18,N7,82.2,7.4,False,False,False,False,False,False,Médio,Regular,Alta,False,Alta,False,1.0,False,Moderado,Boa,Completa,Baixa,Boa,0.19334902884049435,True
98,False,Feminino,22,8º ano,483.99,N6,79.6,4.0,False,False,False,True,False,True,Médio,Bom,Alta,False,Média,False,2.7,False,Alto,Regular,Completa,Média,Boa,0.3549146556798117,True
99,False,Masculino,14,1ª série EM,731.02,N7,90.2,6.0,False,False,False,False,False,False,Baixo,Bom,Média,False,Baixa,False,2.8,True,Alto,Regular,Parcial,Média,Boa,0.21983519717480868,False
100,False,Feminino,12,6º ano,682.37,N1,63.7,5.8,False,False,False,False,False,False,Alto,Regular,Alta,False,Alta,False,1.6,False,Baixo,Boa,Completa,Média,Regular,0.3456444967628017,False
101,True,Feminino,13,3ª série EM,863.03,N5,90.3,8.8,False,False,False,False,False,False,Médio,Bom,Alta,False,Baixa,False,0.4,False,Alto,Boa,Completa,Média,Ruim,0.09579164214243671,False
102,False,Feminino,12,2ª série EM,935.18,N7,69.5,7.6,True,False,False,True,False,False,Alto,Bom,Média,True,Baixa,False,3.0,False,Baixo,Regular,Insuficiente,Alta,Ruim,0.3877280753384344,False
103,True,Feminino,11,2ª série EM,815.17,N3,83.6,6.8,False,False,False,False,False,False,Alto,Bom,Alta,False,Baixa,False,0.8,False,Baixo,Boa,Completa,Média,Boa,0.2136550912301354,False
104,False,Masculino,13,7º ano,1497.35,N4,93.4,6.2,False,False,False,False,False,False,Alto,Bom,Alta,False,Média,False,3.1,False,Alto,Regular,Completa,Média,Ruim,0.19688051795173628,False
105,False,Masculino,14,2ª série EM,911.38,N5,87.7,5.3,False,False,False,False,False,False,Médio,Bom,Baixa,False,Média,False,4.0,False,Alto,Ruim,Completa,Baixa,Regular,0.26177163037080636,True
106,False,Outro,18,8º ano,344.04,N6,73.2,4.7,False,True,False,False,False,False,Médio,Bom,Média,False,Média,False,2.6,False,Alto,Ruim,Completa,Alta,Boa,0.49941141848145976,True
107,True,Masculino,19,2ª série EM,509.64,N2,93.0,3.4,False,False,False,False,False,False,Alto,Ruim,Média,True,Alta,False,2.7,True,Moderado,Boa,Completa,Alta,Regular,0.32224838140082396,False
108,True,Feminino,19,9º ano,415.14,N1,77.8,6.7,True,False,False,False,False,False,Alto,Bom,Média,True,Alta,False,3.7,True,Moderado,Regular,Completa,Média,Regular,0.39081812831077106,True
109,False,Masculino,12,3ª série EM,617.93,N7,94.8,4.3,False,False,True,False,False,False,Alto,Regular,Média,True,Média,False,1.3,False,Alto,Regular,Completa,Alta,Regular,0.2745732783990583,False
110,False,Outro,17,3ª série EM,468.81,N6,72.0,4.1,False,False,False,False,False,False,Baixo,Ruim,Alta,False,Média,False,1.4,False,Alto,Boa,Insuficiente,Média,Regular,0.38404944084755743,True
111,True,Feminino,19,5º ano,966.07,N7,61.2,5.8,True,False,False,False,False,False,Alto,Bom,Alta,True,Média,False,1.4,True,Alto,Regular,Completa,Baixa,Regular,0.503825779870512,False
112,False,Feminino,11,1ª série EM,467.85,N2,79.0,5.1,True,False,False,True,False,False,Baixo,Bom,Média,False,Baixa,False,0.9,False,Moderado,Regular,Completa,Baixa,Boa,0.4561506768687464,True
113,True,Feminino,21,2ª série EM,845.05,N2,88.7,7.8,False,True,False,False,False,False,Médio,Bom,Alta,False,Média,True,3.3,False,Baixo,Regular,Insuficiente,Alta,Regular,0.29414361389052385,False
114,False,Outro,11,7º ano,664.62,N7,63.2,5.2,True,False,False,False,False,False,Médio,Bom,Média,True,Alta,False,3.0,False,Alto,Regular,Parcial,Alta,Regular,0.5214832254267215,True
115,True,Feminino,21,7º ano,927.56,N5,96.1,9.2,False,True,False,True,False,False,Alto,Ruim,Média,False,Alta,False,2.7,False,Moderado,Ruim,Completa,Média,Regular,0.1996762801648029,False
116,False,Feminino,11,1ª série EM,1419.86,N1,84.4,5.4,True,False,False,False,False,False,Baixo,Bom,Baixa,False,Baixa,False,2.8,False,Alto,Regular,Completa,Alta,Boa,0.41907004120070623,True
117,True,Feminino,14,6º ano,417.18,N7,91.6,8.8,False,True,False,False,False,False,Médio,Bom,Baixa,False,Baixa,False,3.5,False,Alto,Boa,Completa,Média,Boa,0.2371983519717481,False
118,False,Feminino,14,2ª série EM,522.97,N5,82.9,6.6,False,False,True,False,False,False,Alto,Bom,Baixa,True,Alta,True,2.7,True,Baixo,Ruim,Completa,Baixa,Boa,0.2255738669805768,False
119,True,Feminino,15,6º ano,857.56,N2,85.8,8.3,False,False,False,False,False,False,Alto,Ruim,Alta,False,Alta,False,1.9,False,Baixo,Boa,Completa,Alta,Boa,0.13772807533843437,False
120,False,Feminino,10,9º ano,476.01,N3,94.9,6.2,False,False,False,False,False,False,Médio,Regular,Baixa,False,Baixa,False,1.5,False,Alto,Boa,Insuficiente,Média,Ruim,0.1902589758681577,False
121,True,Feminino,13,5º ano,398.81,N5,64.1,5.8,False,False,False,False,False,False,Baixo,Regular,Alta,True,Baixa,False,3.8,False,Baixo,Regular,Insuficiente,Alta,Ruim,0.3438787522071807,False
122,False,Masculino,16,7º ano,1038.59,N6,61.9,8.4,False,False,False,True,False,False,Médio,Ruim,Média,True,Média,False,1.0,False,Alto,Ruim,Parcial,Baixa,Ruim,0.23881695114773396,True
123,True,Feminino,16,3ª série EM,719.1,N6,97.6,8.1,False,False,False,False,False,False,Médio,Regular,Alta,False,Média,False,1.6,False,Baixo,Ruim,Parcial,Baixa,Ruim,0.09446733372572104,False
124,True,Feminino,13,1ª série EM,749.45,N3,60.3,7.3,False,True,False,False,False,False,Alto,Bom,Média,True,Média,False,1.2,True,Alto,Ruim,Completa,Alta,Boa,0.44158328428487353,False
125,True,Feminino,21,3ª série EM,268.25,N2,72.0,5.5,False,False,False,False,False,False,Alto,Regular,Baixa,False,Média,False,3.2,False,Alto,Boa,Parcial,Média,Boa,0.32224838140082407,True
126,False,Feminino,20,1ª série EM,811.87,N4,97.4,6.7,False,False,False,False,False,False,Baixo,Regular,Alta,False,Alta,False,1.7,False,Moderado,Regular,Completa,Alta,Boa,0.15715126545026484,False
127,True,Feminino,18,8º ano,724.69,N5,69.7,7.7,False,True,False,False,False,False,Alto,Bom,Média,False,Alta,False,2.4,False,Alto,Boa,Completa,Média,Ruim,0.38243084167157154,True
128,False,Feminino,14,8º ano,1054.1,N5,67.5,4.4,False,True,True,False,False,False,Médio,Regular,Alta,True,Baixa,False,3.0,False,Alto,Boa,Completa,Alta,Ruim,0.5378163625662153,True
129,True,Masculino,19,3ª série EM,436.29,N5,73.2,8.7,False,False,False,False,False,False,Médio,Ruim,Média,True,Alta,False,3.1,True,Moderado,Ruim,Insuficiente,Média,Boa,0.17569158328428489,False
130,True,Masculino,13,7º ano,1015.47,N7,91.7,6.5,True,False,False,False,False,False,Baixo,Ruim,Baixa,False,Alta,False,3.9,False,Alto,Regular,Parcial,Alta,Regular,0.3382872277810477,True
131,True,Feminino,16,7º ano,470.11,N4,74.9,6.8,True,False,True,False,False,False,Alto,Bom,Baixa,True,Alta,False,1.8,True,Moderado,Regular,Completa,Alta,Boa,0.3992054149499706,False
