id_aluno,etapa_ensino,evasao,idade,sexo,estudante_nis,informou_nome_mae,informou_nome_pai,possui_deficiencia,raca_cor,tipo_localizacao_endereco_estudante,situacao_consolidada_no_ano,repetente,frequencia_escolar,notas_medias,nivel_socioeconomico,renda_familiar,distancia_da_escola_km,trabalha,problemas_de_saude,gravidez_na_adolescencia,necessita_assistencia_social,infraestrutura_escolar,evasao_confirmada
29,8° EF,False,11,Masculino,False,False,True,False,Parda,Urbana,Reprovado,False,77.0,1.8,Médio,1420.92,1.6,True,False,False,False,Regular,False
30,1° EF,False,12,Outro,True,True,True,False,Parda,Urbana,Aprovado,False,83.9,7.6,Médio,2977.06,2.3,False,False,False,False,Ruim,False
31,8° EF,False,6,Feminino,True,True,True,False,Branca,Urbana,Aprovado,False,91.2,9.0,Baixo,1784.93,0.1,False,False,False,True,Ruim,False
32,3° EF,False,11,Outro,False,True,False,False,Branca,Urbana,Aprovado,False,82.6,6.1,Muito alto,1759.54,2.0,False,False,False,False,Ruim,False
33,1° EF,False,10,Masculino,False,True,True,False,Branca,Urbana,Em andamento,False,96.5,9.5,Médio,1689.11,1.1,False,False,False,True,Boa,False
34,3° EM,False,17,Masculino,True,True,False,False,Parda,Urbana,Evadido,False,91.4,9.3,Alto,1523.6,2.4,False,False,False,False,Ruim,False
35,3° EM,False,18,Feminino,True,True,True,False,Parda,Urbana,Aprovado,False,96.2,4.9,Baixo,1215.53,3.5,False,False,False,False,Boa,False
36,1° EM,False,10,Masculino,True,True,False,False,Parda,Rural,Aprovado,False,85.7,7.3,Médio,2846.41,3.9,False,False,False,False,Regular,False
37,4° EF,False,9,Feminino,False,True,True,False,Branca,Urbana,Aprovado,False,71.0,5.2,Baixo,813.89,1.5,False,False,False,True,Ruim,False
38,2° EF,False,9,Masculino,True,True,False,False,Branca,Urbana,Aprovado,False,89.6,9.7,Médio,1286.84,0.5,False,False,False,False,Regular,False
39,9° EF,False,15,Masculino,False,True,False,False,Branca,Urbana,Reprovado,False,84.3,6.9,Médio,1327.7,2.3,False,False,False,False,Boa,False
40,6° EF,False,12,Masculino,False,True,False,False,Parda,Urbana,Reprovado,False,86.9,8.2,Muito alto,2107.4,1.6,False,False,False,False,Regular,False
41,2° EF,False,10,Feminino,False,True,True,False,Preta,Urbana,Aprovado,False,91.8,8.4,Muito alto,1687.88,1.1,False,False,False,False,Regular,False
42,6° EF,False,9,Masculino,True,True,True,False,Branca,Urbana,Aprovado,False,92.3,8.1,Médio,1762.53,2.3,False,False,False,True,Boa,False
43,1° EF,False,6,Masculino,True,True,False,False,Parda,Urbana,Evadido,False,70.1,6.6,Médio,3816.96,2.2,False,False,False,False,Regular,False
44,2° EM,False,14,Feminino,True,True,False,False,Branca,Urbana,Aprovado,False,93.8,3.9,Médio,1669.6,2.7,False,False,False,False,Regular,False
45,4° EF,False,7,Masculino,False,True,True,False,Parda,Urbana,Aprovado,False,87.9,7.7,Médio,2956.12,1.5,False,False,False,False,Regular,False
46,8° EF,False,7,Masculino,False,False,False,False,Parda,Rural,Aprovado,False,89.2,8.2,Alto,3720.94,1.4,False,False,False,True,Boa,False
47,4° EF,False,12,Masculino,False,True,True,False,Branca,Urbana,Evadido,False,83.3,7.6,Muito alto,5571.19,1.4,False,False,False,False,Boa,False
48,7° EF,False,8,Masculino,False,True,False,False,Branca,Rural,Reprovado,False,86.3,0.2,Médio,4379.93,1.3,False,True,False,False,Regular,False
49,7° EF,False,12,Masculino,True,True,True,False,Parda,Urbana,Aprovado,False,92.5,5.1,Médio,5598.88,2.7,False,False,True,False,Boa,False
50,3° EF,False,7,Feminino,False,True,True,False,Parda,Urbana,Aprovado,False,93.9,5.3,Alto,1345.74,1.2,False,True,False,False,Regular,False
51,3° EM,False,13,Masculino,False,True,True,True,Parda,Urbana,Evadido,False,85.5,7.1,Médio,1214.74,0.6,False,True,False,False,Boa,False
52,1° EM,False,14,Masculino,False,True,True,False,Parda,Rural,Aprovado,False,92.1,2.1,Baixo,1976.18,2.5,True,False,False,False,Ruim,False
53,3° EM,False,19,Outro,False,True,True,False,Parda,Urbana,Aprovado,False,82.2,5.1,Muito alto,1250.97,2.4,False,False,False,False,Regular,False
54,2° EM,False,6,Feminino,False,False,True,False,Parda,Urbana,Aprovado,False,95.2,9.5,Médio,1147.38,3.9,False,False,False,False,Boa,False
55,8° EF,False,9,Feminino,False,True,True,False,Branca,Urbana,Aprovado,False,90.3,9.1,Baixo,710.91,4.5,False,False,False,False,Regular,False
56,2° EM,False,7,Feminino,True,True,False,False,Branca,Urbana,Aprovado,False,93.9,6.6,Médio,3871.62,3.5,False,True,False,True,Regular,False
57,2° EF,False,12,Masculino,False,True,False,False,Amarela,Urbana,Em andamento,False,87.5,8.9,Médio,1492.87,2.7,False,False,False,False,Regular,False
58,3° EF,False,19,Masculino,False,True,True,False,Branca,Urbana,Aprovado,False,81.3,6.3,Médio,1644.15,2.0,True,False,False,False,Ruim,False
59,1° EF,False,8,Masculino,False,True,True,False,Parda,Urbana,Aprovado,False,86.4,0.6,Muito baixo,1632.69,1.2,False,False,False,False,Regular,False
60,4° EF,False,7,Feminino,True,True,True,False,Parda,Rural,Aprovado,False,85.3,5.1,Médio,2027.39,4.2,False,False,False,False,Ruim,False
61,5° EF,False,12,Feminino,False,True,True,False,Preta,Urbana,Aprovado,False,84.2,4.9,Alto,5668.8,2.4,False,False,False,False,Regular,False
62,4° EF,False,11,Masculino,False,True,False,False,Branca,Urbana,Aprovado,True,80.8,8.1,Médio,2212.96,3.5,False,False,False,True,Regular,False
63,1° EM,False,10,Feminino,False,True,True,False,Parda,Urbana,Aprovado,False,93.6,7.2,Médio,4123.87,1.9,False,False,False,False,Boa,False
64,5° EF,False,8,Feminino,False,True,True,False,Parda,Rural,Aprovado,False,75.4,7.5,Médio,1124.09,2.5,True,False,False,False,Boa,False
65,4° EF,False,13,Masculino,False,True,False,False,Parda,Urbana,Reprovado,False,96.6,6.7,Baixo,1629.43,2.2,False,False,False,False,Regular,False
66,7° EF,False,8,Feminino,False,True,True,False,Branca,Urbana,Reprovado,False,79.5,7.6,Médio,1491.04,1.3,False,False,False,False,Ruim,False
67,2° EF,False,12,Masculino,False,True,False,False,Parda,Urbana,Aprovado,False,99.3,8.4,Médio,1813.87,2.5,False,False,False,False,Boa,False
68,1° EM,True,14,Feminino,False,True,True,False,Preta,Urbana,Evadido,False,96.0,9.0,Baixo,930.37,5.3,False,False,False,True,Boa,True
69,1° EF,False,11,Feminino,True,True,True,False,Parda,Urbana,Aprovado,False,85.7,6.9,Médio,1058.05,1.5,False,False,False,True,Regular,False
70,3° EM,False,9,Feminino,True,True,False,False,Parda,Rural,Aprovado,False,99.6,5.0,Baixo,2812.2,1.8,False,False,False,False,Boa,False
71,1° EM,False,18,Feminino,False,True,True,False,Preta,Urbana,Aprovado,False,96.2,8.5,Médio,1317.69,0.2,False,False,False,False,Boa,False
72,3° EF,False,15,Feminino,False,True,True,False,Preta,Urbana,Aprovado,False,75.2,7.0,Médio,1135.5,2.6,False,True,False,False,Regular,False
73,1° EF,False,12,Feminino,False,True,False,False,Branca,Rural,Aprovado,False,98.3,0.6,Alto,925.45,2.6,True,True,False,False,Ruim,False
74,1° EM,False,13,Feminino,False,True,False,False,Parda,Urbana,Evadido,False,72.0,5.2,Médio,2883.31,2.6,False,False,False,False,Regular,False
75,9° EF,False,6,Feminino,True,True,False,False,Parda,Urbana,Aprovado,False,79.8,5.2,Baixo,1275.37,1.7,False,False,False,True,Boa,False
76,9° EF,False,19,Feminino,False,True,True,False,Branca,Urbana,Aprovado,False,89.8,6.0,Baixo,2873.13,1.6,False,False,False,True,Ruim,False
77,1° EM,False,6,Masculino,True,True,True,False,Preta,Urbana,Aprovado,False,75.1,8.0,Alto,1623.24,2.2,False,False,False,False,Boa,False
78,1° EF,False,6,Masculino,True,True,True,False,Branca,Urbana,Aprovado,False,79.0,9.1,Baixo,1862.02,2.5,True,False,False,True,Boa,False
79,5° EF,False,12,Masculino,False,True,True,False,Preta,Urbana,Reprovado,False,98.5,2.9,Médio,2863.42,2.0,False,False,False,False,Regular,False
80,2° EF,False,17,Masculino,True,True,True,False,Amarela,Urbana,Aprovado,False,99.8,8.7,Alto,1454.79,1.5,True,False,False,False,Regular,False
81,2° EM,False,19,Outro,False,True,False,False,Amarela,Urbana,Evadido,False,94.4,2.6,Muito alto,2446.27,0.4,True,False,False,False,Boa,False
82,8° EF,False,19,Masculino,False,True,True,False,Parda,Urbana,Aprovado,False,88.3,5.0,Médio,2134.02,3.0,True,True,False,False,Regular,False
83,4° EF,False,7,Feminino,False,True,True,False,Parda,Urbana,Aprovado,True,97.0,6.1,Muito alto,1784.82,2.1,False,False,False,False,Regular,False
84,1° EF,False,11,Masculino,False,True,False,False,Branca,Urbana,Aprovado,False,76.8,0.4,Baixo,1686.0,0.6,True,False,True,False,Boa,False
85,4° EF,False,12,Masculino,False,True,False,False,Preta,Urbana,Evadido,False,98.2,5.6,Médio,4330.81,2.6,False,True,False,True,Boa,False
86,4° EF,False,10,Feminino,False,True,False,False,Branca,Rural,Evadido,False,84.6,3.9,Médio,1508.84,2.7,False,False,False,False,Regular,False
87,9° EF,False,6,Masculino,False,True,True,False,Parda,Urbana,Reprovado,False,96.0,6.3,Muito alto,1575.88,1.5,False,False,False,False,Ruim,False
88,8° EF,False,10,Masculino,False,True,True,False,Branca,Urbana,Aprovado,False,91.6,3.4,Alto,1014.73,1.0,False,False,False,False,Regular,False
89,2° EM,False,12,Feminino,False,True,False,False,Branca,Urbana,Aprovado,False,98.7,4.6,Médio,2503.7,3.0,False,False,False,False,Regular,False
90,6° EF,False,16,Masculino,False,True,False,False,Parda,Urbana,Aprovado,False,96.1,8.3,Muito baixo,2260.55,1.5,False,False,False,True,Ruim,False
91,2° EF,False,14,Feminino,False,True,True,False,Branca,Rural,Aprovado,False,96.7,7.1,Muito baixo,1402.02,0.4,False,False,False,False,Regular,False
92,9° EF,False,10,Masculino,False,True,True,False,Branca,Urbana,Aprovado,False,90.8,5.0,Baixo,2179.11,1.9,False,False,True,False,Boa,False
93,1° EM,False,14,Feminino,True,True,True,False,Preta,Urbana,Aprovado,False,95.3,2.3,Médio,1521.69,2.1,False,False,False,True,Regular,False
94,7° EF,False,9,Masculino,True,True,True,False,Parda,Urbana,Evadido,False,93.5,5.2,Médio,2154.11,2.1,False,False,False,False,Boa,False
95,1° EM,False,18,Masculino,False,True,False,False,Branca,Urbana,Aprovado,False,79.0,8.6,Médio,593.06,1.3,False,True,False,False,Boa,False
96,6° EF,False,18,Feminino,True,True,False,False,Branca,Urbana,Aprovado,False,91.1,8.8,Médio,84.14,2.1,True,False,False,False,Regular,False
97,7° EF,False,9,Masculino,True,True,True,True,Parda,Urbana,Aprovado,False,78.5,2.8,Alto,1382.21,2.7,True,False,False,True,Ruim,False
98,6° EF,False,14,Masculino,True,True,True,False,Amarela,Rural,Aprovado,False,96.2,9.9,Médio,2855.34,0.1,False,False,False,False,Regular,False
99,1° EF,False,14,Feminino,False,True,True,False,Branca,Urbana,Aprovado,False,74.1,5.6,Baixo,1512.41,2.5,False,False,False,True,Boa,False
100,2° EF,False,16,Feminino,True,True,True,False,Indígena,Urbana,Aprovado,False,99.6,7.1,Médio,5014.61,2.8,False,False,False,False,Ruim,False
101,1° EF,False,11,Feminino,True,True,True,False,Parda,Urbana,Aprovado,False,85.8,9.8,Médio,1572.26,1.7,False,False,False,True,Ruim,False
102,8° EF,False,19,Masculino,True,True,True,True,Branca,Urbana,Aprovado,False,79.4,5.4,Muito baixo,680.77,0.7,False,False,False,False,Ruim,False
103,4° EF,False,10,Feminino,False,True,True,False,Parda,Urbana,Aprovado,False,98.0,6.5,Médio,5816.19,2.9,False,False,False,True,Ruim,False
104,7° EF,False,7,Feminino,False,True,False,False,Branca,Rural,Reprovado,False,72.3,5.4,Muito baixo,3105.32,3.3,False,False,False,False,Boa,False
105,2° EM,False,6,Feminino,True,True,False,False,Branca,Urbana,Aprovado,False,87.4,6.7,Médio,1777.15,0.9,False,False,False,False,Boa,False
106,3° EF,False,8,Masculino,False,True,True,False,Branca,Rural,Evadido,False,93.8,9.7,Baixo,1129.32,1.8,False,False,False,True,Regular,False
107,5° EF,False,15,Masculino,True,True,False,False,Parda,Urbana,Evadido,False,83.8,5.2,Muito baixo,667.31,1.0,False,False,False,True,Ruim,False
108,9° EF,False,9,Masculino,False,True,True,False,Parda,Rural,Aprovado,True,88.6,7.4,Médio,1674.53,1.4,True,False,False,True,Ruim,False
109,3° EF,False,12,Masculino,True,True,False,True,Parda,Urbana,Aprovado,False,92.3,6.9,Muito baixo,2518.71,2.0,False,False,False,True,Boa,False
110,1° EF,False,10,Masculino,True,True,True,False,Branca,Rural,Aprovado,False,98.4,6.5,Baixo,1375.01,2.9,False,False,False,True,Ruim,False
111,4° EF,False,9,Masculino,False,True,False,False,Preta,Urbana,Aprovado,False,76.4,7.1,Médio,2582.37,2.6,False,False,False,True,Regular,False
112,2° EF,False,7,Masculino,True,True,False,False,Parda,Urbana,Aprovado,False,78.8,0.9,Baixo,1742.81,2.1,False,False,False,False,Ruim,False
113,3° EM,False,8,Feminino,False,True,False,True,Indígena,Urbana,Aprovado,False,88.2,2.1,Médio,1479.59,4.2,False,False,False,False,Boa,False
114,1° EM,False,7,Masculino,True,True,False,False,Branca,Urbana,Aprovado,False,86.2,6.7,Médio,2423.31,0.7,False,False,False,True,Regular,False
115,8° EF,False,9,Masculino,False,True,True,False,Parda,Urbana,Aprovado,False,86.0,7.5,Alto,154.28,1.4,False,False,False,False,Ruim,False
116,2° EM,False,6,Masculino,False,True,True,False,Parda,Urbana,Aprovado,False,83.3,9.2,Baixo,909.9,2.1,False,False,False,False,Regular,False
117,1° EM,False,17,Masculino,False,True,False,False,Branca,Urbana,Aprovado,False,89.3,7.3,Baixo,778.46,1.7,False,False,False,False,Boa,False
118,3° EF,False,14,Masculino,False,True,False,False,Preta,Urbana,Aprovado,False,96.5,8.4,Baixo,1714.71,1.8,False,False,False,False,Boa,False
119,2° EM,False,7,Feminino,True,True,True,False,Preta,Rural,Aprovado,False,79.0,9.2,Médio,3495.68,2.9,True,False,False,True,Regular,False
120,7° EF,False,13,Masculino,False,True,True,False,Parda,Urbana,Aprovado,False,80.9,7.2,Baixo,3082.1,1.1,False,True,False,False,Regular,False
121,1° EM,False,13,Feminino,True,True,False,False,Branca,Urbana,Aprovado,False,91.6,7.6,Médio,591.16,3.8,False,False,False,False,Boa,False
122,2° EM,False,11,Feminino,False,True,True,False,Parda,Rural,Aprovado,False,73.3,9.4,Médio,572.59,1.1,False,False,False,False,Ruim,False
123,4° EF,False,6,Masculino,False,True,True,True,Preta,Urbana,Aprovado,False,91.7,5.3,Médio,3167.69,1.3,False,False,True,False,Boa,False
124,2° EF,False,15,Masculino,True,False,True,False,Parda,Urbana,Reprovado,False,83.7,9.0,Baixo,425.32,3.1,False,False,False,False,Boa,False
125,3° EF,True,17,Masculino,False,True,True,False,Não declarada,Urbana,Evadido,False,71.3,6.3,Médio,2075.6,4.2,False,False,False,True,Ruim,True
126,6° EF,False,14,Feminino,True,True,False,False,Parda,Urbana,Aprovado,False,85.9,6.0,Médio,1548.66,1.7,False,False,False,False,Boa,False
127,1° EM,True,13,Feminino,True,True,False,False,Branca,Urbana,Evadido,False,71.1,5.4,Baixo,156.32,4.2,False,False,False,True,Boa,True
128,2° EM,False,16,Masculino,False,True,True,False,Não declarada,Urbana,Aprovado,False,95.5,8.3,Alto,1328.14,1.1,False,False,False,False,Boa,False
129,1° EF,False,18,Feminino,False,True,True,False,Branca,Urbana,Aprovado,False,98.3,8.9,Médio,1267.31,0.1,False,False,False,False,Boa,False
130,7° EF,False,8,Feminino,False,True,True,False,Branca,Urbana,Aprovado,False,89.0,4.4,Alto,1206.23,3.0,False,False,False,False,Regular,False
131,5° EF,False,16,Masculino,False,True,False,False,Parda,Urbana,Reprovado,False,89.7,9.4,Muito baixo,1357.42,0.5,False,False,False,False,Ruim,False
132,3° EF,False,16,Feminino,False,True,True,True,Branca,Urbana,Aprovado,False,74.4,6.2,Médio,1357.15,2.0,False,False,False,False,Regular,False
133,2° EF,False,15,Feminino,True,True,True,False,Branca,Urbana,Reprovado,False,92.5,7.7,Muito baixo,1204.92,3.9,True,True,False,True,Boa,False
134,5° EF,False,7,Masculino,False,True,True,False,Branca,Urbana,Aprovado,False,89.8,7.7,Médio,1857.98,1.1,True,False,False,False,Boa,False
135,3° EM,False,6,Masculino,False,True,True,False,Preta,Urbana,Em andamento,False,72.8,6.6,Médio,2668.91,0.7,False,False,False,False,Boa,False
136,4° EF,False,15,Masculino,False,True,False,False,Branca,Urbana,Aprovado,False,80.3,9.0,Médio,449.29,1.0,True,False,False,False,Boa,False
137,7° EF,False,9,Feminino,True,True,False,False,Branca,Urbana,Aprovado,False,80.5,8.1,Baixo,1113.67,0.8,True,False,False,False,Regular,False
138,9° EF,False,8,Feminino,False,True,True,False,Parda,Urbana,Aprovado,False,79.4,9.9,Baixo,2317.5,0.9,True,False,False,False,Ruim,False
139,5° EF,False,10,Feminino,True,True,False,False,Amarela,Urbana,Aprovado,False,91.4,9.7,Baixo,1226.92,0.5,False,False,False,False,Regular,False
140,3° EM,False,6,Masculino,False,True,True,False,Amarela,Urbana,Aprovado,False,97.8,9.0,Médio,7963.29,3.0,False,False,False,True,Boa,False
141,3° EM,False,19,Outro,False,True,True,False,Branca,Rural,Evadido,False,93.6,8.1,Alto,1578.78,0.3,False,False,False,True,Ruim,False
142,3° EF,False,16,Masculino,False,True,True,False,Branca,Urbana,Aprovado,False,87.5,1.5,Médio,2749.17,2.7,False,False,False,False,Boa,False
143,6° EF,False,9,Masculino,True,True,False,False,Branca,Urbana,Aprovado,False,85.9,9.8,Médio,876.32,0.4,False,False,False,False,Boa,False
144,4° EF,False,14,Masculino,True,True,False,False,Parda,Urbana,Aprovado,False,85.5,5.9,Alto,2817.79,2.2,False,False,False,True,Boa,False
145,4° EF,False,7,Masculino,False,True,False,False,Não declarada,Urbana,Aprovado,True,90.1,4.0,Baixo,612.79,2.9,False,False,False,False,Regular,False
146,1° EF,False,10,Masculino,True,True,True,False,Parda,Urbana,Em andamento,False,84.8,6.9,Médio,681.01,2.0,False,False,False,False,Boa,False
147,8° EF,False,6,Masculino,False,True,True,False,Parda,Urbana,Aprovado,False,81.2,8.5,Médio,1886.4,0.8,False,False,False,True,Boa,False
148,6° EF,False,7,Masculino,False,True,True,False,Parda,Urbana,Aprovado,False,90.2,9.0,Baixo,3392.25,2.0,False,False,False,False,Ruim,False
149,1° EF,False,19,Feminino,False,True,True,False,Branca,Urbana,Reprovado,False,85.6,7.3,Médio,1855.6,1.5,False,False,False,False,Boa,False
150,4° EF,False,19,Feminino,True,True,True,False,Branca,Urbana,Aprovado,False,67.4,9.0,Médio,2276.64,1.8,False,False,False,False,Regular,False
151,2° EM,False,10,Masculino,False,True,True,False,Parda,Urbana,Aprovado,False,69.2,7.6,Baixo,3026.57,0.7,False,True,False,False,Ruim,False
152,3° EF,False,7,Masculino,False,True,True,False,Parda,Urbana,Aprovado,False,82.6,3.4,Baixo,2600.64,2.4,False,False,False,False,Regular,False
153,2° EF,False,13,Masculino,False,True,False,False,Branca,Urbana,Aprovado,False,88.3,5.2,Médio,845.19,1.7,False,True,False,False,Ruim,False
154,6° EF,False,15,Masculino,False,True,False,False,Preta,Urbana,Aprovado,False,84.7,2.5,Alto,1400.42,2.8,False,False,False,True,Boa,False
155,3° EM,False,10,Masculino,False,True,False,False,Parda,Urbana,Aprovado,False,69.5,8.6,Baixo,635.86,3.0,False,False,False,False,Boa,False
156,3° EF,False,11,Feminino,False,True,True,False,Parda,Urbana,Evadido,False,81.1,6.0,Baixo,1706.12,2.3,False,False,False,False,Boa,False
157,9° EF,False,11,Masculino,True,True,False,False,Preta,Urbana,Aprovado,False,76.0,3.8,Médio,749.83,1.7,False,False,False,False,Ruim,False
158,1° EM,False,16,Masculino,False,True,True,False,Parda,Urbana,Em andamento,False,98.3,3.8,Muito baixo,621.39,1.2,False,False,False,True,Regular,False
159,3° EF,False,18,Masculino,False,True,True,False,Parda,Urbana,Aprovado,False,83.7,9.1,Baixo,1958.69,1.1,False,False,False,False,Regular,False
160,9° EF,False,18,Masculino,True,True,True,False,Parda,Rural,Reprovado,False,67.6,8.9,Muito baixo,985.37,2.3,False,False,False,False,Boa,False
161,5° EF,False,7,Feminino,False,True,True,False,Branca,Urbana,Aprovado,True,91.4,9.7,Médio,1425.35,2.5,False,True,False,False,Regular,False
162,8° EF,False,12,Feminino,False,True,True,True,Branca,Urbana,Aprovado,False,81.4,6.2,Alto,907.71,1.9,True,False,False,False,Boa,False
163,8° EF,False,7,Feminino,False,True,False,False,Parda,Urbana,Evadido,False,89.4,8.0,Médio,1578.42,2.0,False,False,False,False,Boa,False
164,7° EF,False,18,Outro,False,False,True,False,Branca,Urbana,Aprovado,False,78.6,7.2,Alto,70.87,0.6,False,False,False,False,Regular,False
165,2° EF,False,7,Masculino,False,True,True,False,Branca,Urbana,Reprovado,False,99.5,6.1,Baixo,3214.91,2.1,False,False,False,False,Boa,False
166,1° EM,False,16,Masculino,False,True,True,False,Branca,Urbana,Aprovado,False,99.0,7.7,Alto,2614.91,1.5,False,True,False,False,Regular,False
167,4° EF,False,11,Masculino,True,True,True,False,Branca,Urbana,Reprovado,False,91.3,8.2,Médio,682.47,3.2,False,False,False,False,Ruim,False
168,3° EF,False,7,Masculino,True,True,True,False,Amarela,Urbana,Reprovado,False,92.4,5.1,Muito alto,1538.99,2.3,False,False,False,False,Regular,False
169,1° EF,False,8,Masculino,True,True,True,False,Branca,Urbana,Em andamento,False,86.4,8.9,Baixo,2955.81,1.7,False,False,False,False,Boa,False
170,8° EF,False,6,Feminino,False,True,True,True,Parda,Urbana,Reprovado,False,98.8,9.7,Alto,1969.24,2.4,False,False,False,True,Boa,False
171,9° EF,False,6,Feminino,True,False,True,False,Parda,Urbana,Reprovado,False,86.3,5.7,Baixo,4432.59,3.9,False,False,False,True,Boa,False
172,1° EF,False,7,Masculino,False,True,False,True,Branca,Urbana,Reprovado,False,81.6,6.6,Médio,2680.79,2.9,False,False,False,True,Boa,False
173,7° EF,False,15,Masculino,False,True,False,False,Parda,Urbana,Reprovado,False,77.0,0.6,Médio,631.85,1.4,False,False,False,False,Boa,False
174,3° EF,False,13,Masculino,False,True,True,False,Parda,Rural,Reprovado,False,80.7,9.2,Baixo,1129.07,2.5,False,False,False,True,Boa,False
175,8° EF,False,6,Feminino,False,False,True,False,Preta,Urbana,Aprovado,False,89.5,7.2,Médio,2543.66,4.9,False,False,False,False,Regular,False
176,3° EF,False,14,Feminino,False,True,True,False,Branca,Rural,Evadido,False,81.8,5.5,Baixo,2187.6,2.9,False,False,False,False,Boa,False
177,9° EF,False,19,Masculino,False,False,True,False,Branca,Urbana,Aprovado,False,91.3,1.8,Baixo,1975.18,1.9,False,False,False,False,Boa,False
