id_aluno,etapa_ensino,idade,sexo,estudante_nis,informou_nome_mae,informou_nome_pai,possui_deficiencia,raca_cor,tipo_localizacao_endereco_estudante,situacao_consolidada_no_ano,repetente,frequencia_escolar,notas_medias,nivel_socioeconomico,renda_familiar,distancia_da_escola_km,trabalha,problemas_de_saude,gravidez_na_adolescencia,necessita_assistencia_social,infraestrutura_escolar,evasao_confirmada
19,6° EF,10,Feminino,True,True,True,False,Parda,Urbana,Aprovado,True,85.4,3.8,Alto,7588.79,2.7,True,False,False,False,Ruim,False
20,4° EF,12,Feminino,False,True,False,False,Branca,Urbana,Aprovado,False,98.3,1.9,Baixo,3987.96,2.0,False,False,False,False,Regular,False
21,8° EF,8,Outro,False,True,True,False,Branca,Urbana,Evadido,False,76.8,8.0,Alto,2390.08,2.1,False,True,False,True,Ruim,False
22,2° EF,7,Masculino,True,True,True,False,Branca,Urbana,Reprovado,False,77.4,8.7,Alto,3700.01,2.7,False,False,False,False,Boa,False
23,4° EF,7,Masculino,False,True,True,True,Parda,Urbana,Aprovado,False,90.5,4.4,Baixo,5762.42,2.5,False,False,False,True,Boa,False
24,5° EF,15,Feminino,True,True,False,False,Branca,Urbana,Reprovado,False,81.8,8.5,Alto,4105.56,1.4,False,False,False,False,Boa,False
25,6° EF,11,Masculino,False,False,True,False,Parda,Urbana,Reprovado,False,100.0,5.8,Baixo,7290.8,2.8,False,False,False,False,Ruim,False
26,1° EM,7,Masculino,False,True,True,False,Branca,Urbana,Aprovado,False,75.3,6.7,Baixo,6703.9,2.7,False,False,False,False,Regular,False
27,3° EF,13,Masculino,True,True,True,False,Branca,Urbana,Aprovado,True,93.2,9.4,Médio,6989.41,2.2,False,False,False,False,Boa,False
28,7° EF,12,Feminino,False,True,False,False,Parda,Urbana,Aprovado,False,92.7,9.9,Muito baixo,5995.8,2.9,False,False,False,False,Regular,False
29,8° EF,11,Masculino,False,False,True,False,Parda,Urbana,Reprovado,False,92.9,0.5,Médio,1933.49,1.0,False,False,False,False,Regular,False
30,1° EF,12,Outro,True,True,True,False,Parda,Urbana,Aprovado,False,91.6,9.3,Médio,8785.09,1.5,False,False,False,False,Boa,False
31,8° EF,6,Feminino,True,True,True,False,Branca,Urbana,Aprovado,False,75.0,9.7,Baixo,2769.25,2.3,False,False,False,False,Regular,False
32,3° EF,11,Outro,False,True,True,False,Branca,Urbana,Aprovado,False,84.0,5.9,Muito alto,1161.29,2.7,False,False,False,False,Boa,False
33,1° EF,10,Masculino,False,True,True,False,Branca,Urbana,Em andamento,False,76.5,8.3,Médio,8280.05,1.7,False,False,False,False,Boa,False
34,3° EM,17,Masculino,True,True,False,False,Parda,Urbana,Evadido,True,91.3,7.5,Alto,8092.89,3.1,False,True,False,False,Boa,False
35,3° EM,18,Feminino,True,True,True,False,Parda,Urbana,Aprovado,False,81.2,3.9,Baixo,8912.46,2.2,False,False,False,False,Boa,False
36,1° EM,10,Masculino,True,True,False,False,Parda,Rural,Aprovado,False,89.1,7.2,Médio,4225.97,2.0,False,False,False,False,Regular,False
37,4° EF,9,Feminino,False,False,True,False,Branca,Urbana,Aprovado,False,99.6,5.0,Baixo,8786.93,2.4,False,False,False,False,Boa,False
38,2° EF,9,Masculino,True,True,False,False,Branca,Urbana,Aprovado,False,75.5,8.8,Médio,7684.59,1.6,False,True,False,False,Boa,False
39,9° EF,15,Masculino,False,True,False,False,Branca,Urbana,Reprovado,False,97.7,5.4,Médio,6667.21,1.1,False,False,False,False,Boa,False
40,6° EF,12,Masculino,False,True,False,False,Parda,Urbana,Reprovado,False,87.1,8.7,Muito alto,1418.81,0.9,True,False,False,False,Boa,False
41,2° EF,10,Feminino,False,True,True,False,Preta,Urbana,Aprovado,False,89.3,7.8,Muito alto,6567.52,1.6,False,False,False,False,Regular,False
42,6° EF,9,Masculino,True,True,True,False,Branca,Urbana,Aprovado,False,94.6,7.7,Médio,6077.13,2.9,False,False,False,False,Regular,False
43,1° EF,6,Masculino,True,True,False,False,Parda,Urbana,Evadido,False,93.8,5.3,Médio,2409.87,1.2,False,False,False,False,Boa,False
44,2° EM,14,Feminino,True,True,False,False,Branca,Urbana,Aprovado,False,70.7,2.0,Médio,6630.51,0.6,False,False,False,True,Ruim,True
45,4° EF,7,Masculino,False,True,True,False,Parda,Urbana,Aprovado,False,89.2,7.4,Médio,5146.14,1.3,False,False,False,False,Ruim,False
46,8° EF,7,Masculino,False,False,False,False,Parda,Rural,Aprovado,False,98.8,9.7,Alto,6904.27,4.1,False,False,False,False,Boa,False
47,4° EF,12,Masculino,False,True,True,False,Branca,Urbana,Evadido,False,87.6,7.8,Muito alto,4509.05,1.6,False,False,False,False,Boa,False
48,7° EF,8,Masculino,False,False,False,False,Branca,Rural,Reprovado,False,97.4,4.0,Médio,7205.94,1.3,False,False,False,True,Boa,False
49,7° EF,12,Masculino,True,True,True,False,Parda,Urbana,Aprovado,False,80.8,6.1,Médio,5742.5,1.4,False,False,False,False,Boa,False
50,3° EF,7,Feminino,False,True,True,False,Parda,Urbana,Aprovado,False,92.3,5.9,Alto,8706.44,1.1,False,False,False,True,Regular,False
51,3° EM,13,Masculino,False,False,True,True,Parda,Urbana,Evadido,False,89.8,9.0,Médio,4919.19,1.5,False,False,False,True,Boa,False
52,1° EM,14,Masculino,False,True,True,False,Parda,Rural,Aprovado,False,77.8,3.7,Baixo,2419.14,4.1,False,False,True,False,Regular,True
53,3° EM,19,Outro,False,False,True,False,Parda,Urbana,Aprovado,False,78.6,5.8,Muito alto,7769.96,3.3,False,False,False,False,Ruim,False
54,2° EM,6,Feminino,True,False,True,False,Parda,Urbana,Aprovado,False,92.3,8.9,Médio,7259.44,1.0,False,False,False,False,Boa,False
55,8° EF,9,Feminino,False,True,True,False,Branca,Urbana,Aprovado,False,77.1,7.3,Baixo,3627.38,3.1,False,True,False,True,Regular,False
56,2° EM,7,Feminino,True,True,False,False,Branca,Urbana,Aprovado,False,90.9,6.9,Médio,1439.2,1.5,True,False,False,True,Boa,False
57,2° EF,12,Masculino,False,True,False,False,Amarela,Urbana,Em andamento,False,96.7,8.1,Médio,6393.83,1.3,True,False,False,False,Boa,False
58,3° EF,19,Masculino,False,True,True,False,Branca,Urbana,Aprovado,False,83.6,5.5,Médio,3473.16,3.2,False,False,False,True,Boa,False
59,1° EF,8,Masculino,False,True,True,False,Parda,Urbana,Aprovado,False,81.6,3.7,Muito baixo,4931.25,2.8,False,False,False,False,Regular,False
60,4° EF,7,Feminino,True,True,True,False,Parda,Rural,Aprovado,False,88.8,6.4,Médio,1759.22,2.0,False,False,False,True,Regular,False
61,5° EF,12,Feminino,False,True,True,False,Preta,Urbana,Aprovado,False,97.7,1.8,Alto,3115.53,3.0,False,False,False,False,Boa,False
62,4° EF,11,Masculino,False,False,False,False,Branca,Urbana,Aprovado,True,74.6,8.2,Médio,3472.67,3.3,True,False,False,False,Ruim,True
63,1° EM,10,Feminino,False,True,False,False,Parda,Urbana,Aprovado,False,96.4,8.2,Médio,1946.54,0.5,False,False,False,False,Ruim,False
64,5° EF,8,Feminino,False,True,True,False,Parda,Rural,Aprovado,False,78.7,8.7,Médio,3411.79,2.8,True,False,True,True,Ruim,False
65,4° EF,13,Masculino,False,True,False,False,Parda,Urbana,Reprovado,False,86.2,5.7,Baixo,3192.75,1.3,False,False,False,False,Regular,False
66,7° EF,8,Feminino,False,True,True,False,Branca,Urbana,Reprovado,False,95.0,8.6,Médio,3632.26,2.8,False,True,False,False,Ruim,False
67,2° EF,12,Masculino,True,True,False,False,Parda,Urbana,Aprovado,False,89.4,9.0,Médio,8971.41,1.1,False,False,False,False,Ruim,False
68,1° EM,14,Feminino,True,True,True,False,Preta,Urbana,Evadido,False,69.0,9.3,Baixo,2184.64,5.7,False,False,False,True,Regular,False
69,1° EF,11,Feminino,True,True,True,False,Parda,Urbana,Aprovado,False,77.4,5.1,Médio,6569.13,2.3,False,False,False,False,Regular,False
70,3° EM,9,Feminino,True,False,False,False,Parda,Rural,Aprovado,False,90.8,6.6,Baixo,4840.75,2.2,False,False,False,False,Ruim,False
71,1° EM,18,Feminino,False,True,True,False,Preta,Urbana,Aprovado,False,94.9,9.1,Médio,6869.24,2.8,False,False,False,False,Boa,False
72,3° EF,15,Feminino,False,True,True,False,Preta,Urbana,Aprovado,False,87.6,5.7,Médio,9108.77,1.3,False,False,False,True,Ruim,False
73,1° EF,12,Feminino,False,True,False,False,Branca,Rural,Aprovado,False,92.1,3.2,Alto,7590.1,2.1,False,False,True,True,Regular,False
74,1° EM,13,Feminino,False,True,False,True,Parda,Urbana,Evadido,False,89.3,6.8,Médio,5564.8,1.5,False,True,False,False,Boa,False
75,9° EF,6,Feminino,True,False,False,False,Parda,Urbana,Aprovado,False,92.6,6.2,Baixo,4444.22,1.9,False,False,False,False,Regular,False
76,9° EF,19,Feminino,False,True,True,False,Branca,Urbana,Aprovado,False,97.5,5.0,Baixo,5907.99,2.4,False,False,False,False,Ruim,False
77,1° EM,6,Masculino,False,True,True,False,Preta,Urbana,Aprovado,False,85.2,8.3,Alto,3859.53,3.6,True,False,False,True,Boa,False
78,1° EF,6,Masculino,True,True,True,False,Branca,Urbana,Aprovado,False,92.9,7.1,Baixo,5222.74,1.5,False,False,True,False,Ruim,False
79,5° EF,12,Masculino,False,True,True,False,Preta,Urbana,Reprovado,False,98.6,0.8,Médio,2113.33,0.6,False,False,False,False,Boa,False
80,2° EF,17,Masculino,True,True,True,False,Amarela,Urbana,Aprovado,False,81.2,8.5,Alto,5322.28,3.0,False,False,True,False,Ruim,False
81,2° EM,19,Outro,False,True,True,False,Amarela,Urbana,Evadido,False,97.5,0.0,Muito alto,8679.89,3.1,False,False,False,False,Ruim,False
82,8° EF,19,Masculino,False,True,True,False,Parda,Urbana,Aprovado,False,86.2,3.7,Médio,8520.44,3.8,False,False,False,True,Ruim,False
83,4° EF,7,Feminino,False,True,True,False,Parda,Urbana,Aprovado,False,73.1,5.4,Muito alto,1929.36,3.3,False,False,False,False,Ruim,False
84,1° EF,11,Masculino,False,True,False,True,Branca,Urbana,Aprovado,False,81.1,1.2,Baixo,5863.74,3.6,True,True,True,True,Boa,True
85,4° EF,12,Masculino,False,True,False,False,Preta,Urbana,Evadido,False,96.7,6.2,Médio,8524.47,3.6,False,False,False,True,Boa,False
86,4° EF,10,Feminino,False,True,True,False,Branca,Rural,Evadido,True,89.2,2.3,Médio,3910.63,1.3,True,False,False,False,Regular,False
87,9° EF,6,Masculino,False,True,True,False,Parda,Urbana,Reprovado,False,97.5,5.0,Muito alto,4596.53,2.1,False,False,False,False,Boa,False
88,8° EF,10,Masculino,False,True,True,True,Branca,Urbana,Aprovado,False,88.8,2.6,Alto,5668.58,2.1,False,False,False,True,Boa,False
89,2° EM,12,Feminino,False,True,True,False,Branca,Urbana,Aprovado,False,62.6,2.2,Médio,6976.28,1.1,False,False,False,False,Ruim,True
90,6° EF,16,Masculino,False,True,False,False,Parda,Urbana,Aprovado,False,92.1,8.6,Muito baixo,7542.72,0.5,False,True,False,True,Ruim,False
91,2° EF,14,Feminino,False,True,True,False,Branca,Rural,Aprovado,False,86.9,7.7,Muito baixo,1884.95,1.0,False,False,False,False,Regular,False
92,9° EF,10,Masculino,False,True,True,False,Branca,Urbana,Aprovado,False,74.9,4.9,Baixo,6152.29,2.7,False,False,False,True,Boa,False
93,1° EM,14,Feminino,True,True,True,False,Preta,Urbana,Aprovado,False,82.4,2.8,Médio,4468.14,0.2,False,False,False,False,Boa,False
94,7° EF,9,Masculino,True,True,True,False,Parda,Urbana,Evadido,False,78.5,6.7,Médio,8526.07,2.0,False,False,False,False,Ruim,False
95,1° EM,18,Masculino,False,True,False,False,Branca,Urbana,Aprovado,False,86.9,9.6,Médio,2531.41,2.4,False,False,False,True,Ruim,False
96,6° EF,18,Feminino,True,True,False,False,Branca,Urbana,Aprovado,False,83.4,7.7,Médio,8571.6,2.5,False,False,True,False,Regular,False
97,7° EF,9,Masculino,True,True,True,True,Parda,Urbana,Aprovado,False,80.7,2.6,Alto,5170.43,1.6,False,True,False,True,Boa,False
98,6° EF,14,Masculino,True,True,True,False,Amarela,Rural,Aprovado,False,91.1,9.0,Médio,1861.85,3.0,False,False,False,True,Boa,False
99,1° EF,14,Feminino,False,True,True,False,Branca,Urbana,Aprovado,False,98.3,6.5,Baixo,7759.7,1.9,False,False,False,False,Boa,False
100,2° EF,16,Feminino,True,True,False,True,Indígena,Urbana,Aprovado,False,98.7,9.3,Médio,6062.56,0.4,False,False,False,True,Boa,False
101,1° EF,11,Feminino,False,True,True,True,Parda,Urbana,Aprovado,False,85.1,9.9,Médio,6371.93,2.7,False,False,False,False,Ruim,False
102,8° EF,19,Masculino,False,True,True,True,Branca,Urbana,Aprovado,False,82.4,6.2,Muito baixo,3715.51,2.1,False,True,False,False,Boa,False
103,4° EF,10,Feminino,False,True,True,False,Parda,Urbana,Aprovado,False,90.7,5.2,Médio,6889.29,2.8,False,False,False,False,Regular,False
104,7° EF,7,Feminino,False,True,False,False,Branca,Rural,Reprovado,False,84.9,7.0,Muito baixo,1166.69,1.8,True,True,False,True,Ruim,False
105,2° EM,6,Feminino,True,True,False,False,Branca,Urbana,Aprovado,True,94.6,6.9,Médio,9056.84,3.7,False,False,False,False,Regular,False
106,3° EF,8,Masculino,False,True,True,False,Branca,Rural,Evadido,False,85.6,9.2,Baixo,8618.96,0.8,True,False,False,True,Boa,False
107,5° EF,15,Masculino,False,False,True,False,Parda,Urbana,Evadido,False,89.5,6.8,Muito baixo,5304.26,1.5,False,False,False,True,Ruim,False
108,9° EF,9,Masculino,False,True,True,False,Parda,Rural,Aprovado,True,99.6,9.6,Médio,1464.43,0.6,True,False,False,True,Boa,False
109,3° EF,12,Masculino,True,True,False,True,Parda,Urbana,Aprovado,False,77.7,6.5,Muito baixo,7579.7,0.1,False,False,False,False,Regular,False
110,1° EF,10,Masculino,True,True,True,False,Branca,Rural,Aprovado,False,83.9,6.8,Baixo,7086.4,1.8,False,False,False,False,Ruim,False
111,4° EF,9,Masculino,False,False,False,False,Preta,Urbana,Aprovado,False,74.6,7.9,Médio,6949.56,2.1,False,False,False,False,Boa,False
112,2° EF,7,Masculino,True,True,False,False,Parda,Urbana,Aprovado,False,98.6,1.3,Baixo,1478.18,0.1,False,False,False,False,Boa,False
113,3° EM,8,Feminino,False,False,False,True,Indígena,Urbana,Aprovado,False,87.8,4.5,Médio,1729.29,1.9,False,False,False,True,Ruim,False
114,1° EM,7,Masculino,True,True,False,False,Branca,Urbana,Aprovado,False,84.0,5.3,Médio,7660.39,2.1,False,False,False,False,Boa,False
115,8° EF,9,Masculino,False,True,True,False,Parda,Urbana,Aprovado,False,97.8,7.5,Alto,8302.06,1.1,False,False,False,False,Boa,False
116,2° EM,6,Masculino,False,True,False,False,Parda,Urbana,Aprovado,False,86.7,8.2,Baixo,7394.58,1.8,False,False,False,False,Ruim,False
117,1° EM,17,Masculino,False,False,False,False,Branca,Urbana,Aprovado,False,64.0,7.6,Baixo,4081.53,2.6,False,False,False,False,Boa,False
118,3° EF,14,Masculino,True,False,False,False,Preta,Urbana,Aprovado,False,89.3,7.5,Baixo,2022.53,2.2,False,True,True,False,Boa,False
119,2° EM,7,Feminino,False,True,True,True,Preta,Rural,Aprovado,True,75.6,8.5,Médio,5885.23,3.7,False,False,False,False,Boa,False
120,7° EF,13,Masculino,False,True,True,False,Parda,Urbana,Aprovado,False,99.5,7.0,Baixo,8528.35,1.8,True,False,False,True,Regular,False
121,1° EM,13,Feminino,True,True,False,False,Branca,Urbana,Aprovado,False,97.2,8.5,Médio,2049.96,2.5,False,False,False,True,Ruim,False
122,2° EM,11,Feminino,False,True,True,False,Parda,Rural,Aprovado,False,93.4,9.6,Médio,1165.96,1.4,False,False,False,True,Ruim,False
123,4° EF,6,Masculino,False,True,True,True,Preta,Urbana,Aprovado,False,90.8,6.1,Médio,1613.97,1.1,False,False,False,False,Boa,False
124,2° EF,15,Masculino,True,False,True,False,Parda,Urbana,Reprovado,False,72.1,7.8,Baixo,5986.31,1.7,False,False,False,False,Ruim,False
125,3° EF,17,Masculino,False,True,True,False,Não declarada,Urbana,Evadido,False,67.4,5.2,Médio,962.66,2.7,False,False,False,False,Regular,True
126,6° EF,14,Feminino,False,True,False,False,Parda,Urbana,Aprovado,False,86.3,6.3,Médio,1276.68,0.8,True,False,False,False,Boa,False
127,1° EM,13,Feminino,True,True,False,False,Branca,Urbana,Evadido,False,82.4,6.6,Baixo,443.51,0.4,True,False,False,False,Ruim,False
128,2° EM,16,Masculino,True,True,True,False,Não declarada,Urbana,Aprovado,False,78.1,9.1,Alto,2800.38,0.4,False,False,False,False,Regular,False
129,1° EF,18,Feminino,True,True,True,False,Branca,Urbana,Aprovado,False,93.4,7.5,Médio,2046.98,2.0,False,False,False,False,Regular,False
130,7° EF,8,Feminino,False,True,True,False,Branca,Urbana,Aprovado,False,90.1,4.8,Alto,1146.9,1.3,False,False,False,False,Regular,False
131,5° EF,16,Masculino,False,True,False,False,Parda,Urbana,Reprovado,False,87.8,9.9,Muito baixo,5105.95,1.9,False,False,False,False,Regular,False
132,3° EF,16,Feminino,False,True,True,True,Branca,Urbana,Aprovado,False,97.5,6.8,Médio,2011.88,2.7,False,False,False,False,Regular,False
133,2° EF,15,Feminino,True,True,True,False,Branca,Urbana,Reprovado,False,91.4,7.6,Muito baixo,7021.96,0.4,False,False,True,True,Ruim,False
134,5° EF,7,Masculino,False,True,True,False,Branca,Urbana,Aprovado,False,82.6,7.3,Médio,3935.42,1.6,True,False,True,False,Ruim,False
135,3° EM,6,Masculino,False,True,True,False,Preta,Urbana,Em andamento,True,87.3,6.5,Médio,9024.25,2.1,False,False,False,False,Boa,False
136,4° EF,15,Masculino,False,True,False,False,Branca,Urbana,Aprovado,False,91.4,9.8,Médio,4042.77,1.5,False,False,True,False,Boa,False
137,7° EF,9,Feminino,True,True,False,False,Branca,Urbana,Aprovado,False,75.8,8.4,Baixo,1174.88,2.6,False,False,True,False,Boa,False
138,9° EF,8,Feminino,False,True,False,False,Parda,Urbana,Aprovado,False,78.5,8.7,Baixo,3557.8,3.6,False,False,False,True,Regular,False
139,5° EF,10,Feminino,True,True,False,False,Amarela,Urbana,Aprovado,False,97.7,9.9,Baixo,9041.21,2.0,False,False,False,True,Regular,False
140,3° EM,6,Masculino,False,True,True,False,Amarela,Urbana,Aprovado,False,82.4,9.8,Médio,7286.92,1.9,False,False,False,False,Ruim,False
141,3° EM,19,Outro,False,True,True,False,Branca,Rural,Evadido,False,84.9,7.5,Alto,8709.85,3.9,False,True,False,False,Regular,False
142,3° EF,16,Masculino,False,True,False,False,Branca,Urbana,Aprovado,True,77.2,2.0,Médio,3328.92,2.6,False,False,False,False,Regular,True
143,6° EF,9,Masculino,True,True,False,False,Branca,Urbana,Aprovado,False,80.1,8.3,Médio,6467.66,1.1,True,False,False,True,Ruim,False
144,4° EF,14,Masculino,True,True,False,False,Parda,Urbana,Aprovado,False,76.4,6.2,Alto,6381.56,1.2,False,False,False,False,Regular,False
145,4° EF,7,Masculino,False,True,True,False,Não declarada,Urbana,Aprovado,True,93.5,4.9,Baixo,8443.61,1.0,False,False,False,True,Boa,False
146,1° EF,10,Masculino,False,True,True,False,Parda,Urbana,Em andamento,False,89.1,6.9,Médio,1909.61,2.8,False,False,False,False,Ruim,False
147,8° EF,6,Masculino,False,True,True,False,Parda,Urbana,Aprovado,False,83.3,9.1,Médio,4004.88,2.1,False,True,False,False,Regular,False
148,6° EF,7,Masculino,False,True,True,False,Parda,Urbana,Aprovado,False,82.4,9.2,Baixo,5527.87,1.0,False,False,False,True,Boa,False
149,1° EF,19,Feminino,False,True,True,False,Branca,Urbana,Reprovado,False,71.2,7.6,Médio,4917.35,0.9,False,True,False,False,Regular,False
150,4° EF,19,Feminino,True,True,True,False,Branca,Urbana,Aprovado,False,89.4,7.3,Médio,2203.47,2.5,False,False,False,False,Ruim,False
151,2° EM,10,Masculino,False,True,True,False,Parda,Urbana,Aprovado,False,80.8,9.9,Baixo,6412.68,0.0,False,False,False,True,Regular,False
152,3° EF,7,Masculino,False,True,True,False,Parda,Urbana,Aprovado,False,80.3,3.2,Baixo,5684.61,1.3,False,False,False,False,Regular,False
153,2° EF,13,Masculino,False,True,False,False,Branca,Urbana,Aprovado,False,95.0,5.3,Médio,5120.41,1.0,False,False,False,True,Regular,False
154,6° EF,15,Masculino,False,True,False,False,Preta,Urbana,Aprovado,False,75.9,0.6,Alto,6711.65,0.3,False,True,False,True,Ruim,False
155,3° EM,10,Masculino,False,True,False,True,Parda,Urbana,Aprovado,False,92.3,8.3,Baixo,6686.95,1.5,False,False,True,False,Boa,False
156,3° EF,11,Feminino,False,True,True,False,Parda,Urbana,Evadido,False,81.9,5.7,Baixo,5864.58,3.2,False,True,False,False,Boa,False
157,9° EF,11,Masculino,True,True,False,False,Preta,Urbana,Aprovado,False,91.9,2.1,Médio,6247.42,0.2,False,False,False,False,Regular,False
158,1° EM,16,Masculino,True,True,True,False,Parda,Urbana,Em andamento,False,76.3,4.1,Muito baixo,2904.2,2.6,False,False,False,False,Boa,False
159,3° EF,18,Masculino,False,True,True,False,Parda,Urbana,Aprovado,False,88.7,7.9,Baixo,8181.99,2.5,False,False,False,False,Boa,False
160,9° EF,18,Masculino,True,True,True,False,Parda,Rural,Reprovado,False,87.0,7.6,Muito baixo,4877.9,2.6,False,False,False,False,Ruim,False
161,5° EF,7,Feminino,False,True,True,False,Branca,Urbana,Aprovado,True,87.1,7.6,Médio,5554.84,2.9,False,False,True,True,Regular,False
162,8° EF,12,Feminino,False,True,True,True,Branca,Urbana,Aprovado,False,81.0,5.2,Alto,2345.22,0.8,False,False,True,True,Boa,False
163,8° EF,7,Feminino,False,True,False,False,Parda,Urbana,Evadido,False,78.1,8.5,Médio,8146.41,2.5,False,False,False,True,Regular,False
164,7° EF,18,Outro,False,False,True,False,Branca,Urbana,Aprovado,False,94.7,8.5,Alto,5224.37,1.4,False,False,False,False,Boa,False
165,2° EF,7,Masculino,True,True,True,False,Branca,Urbana,Reprovado,False,79.3,6.7,Baixo,6942.64,2.0,False,False,False,True,Ruim,False
166,1° EM,16,Masculino,False,True,True,False,Branca,Urbana,Aprovado,False,86.6,9.9,Alto,2825.74,2.1,True,False,False,True,Boa,False
167,4° EF,11,Masculino,True,True,True,False,Branca,Urbana,Reprovado,False,70.7,9.9,Médio,4532.48,2.4,False,False,False,True,Boa,False
168,3° EF,7,Masculino,True,True,True,False,Amarela,Urbana,Reprovado,False,79.6,6.3,Muito alto,2874.59,1.7,False,False,False,False,Boa,False
169,1° EF,8,Masculino,True,True,True,False,Branca,Urbana,Em andamento,False,78.0,9.3,Baixo,5973.01,1.7,False,True,False,False,Boa,False
170,8° EF,6,Feminino,False,True,True,True,Parda,Urbana,Reprovado,False,92.1,9.4,Alto,8194.2,0.7,False,False,False,False,Regular,False
171,9° EF,6,Feminino,True,False,True,False,Parda,Urbana,Reprovado,False,93.8,5.6,Baixo,7030.98,1.9,False,False,False,True,Boa,False
172,1° EF,7,Masculino,False,True,False,True,Branca,Urbana,Reprovado,False,96.1,6.0,Médio,7918.85,1.2,False,False,False,False,Boa,False
173,7° EF,15,Masculino,False,True,True,False,Parda,Urbana,Reprovado,False,71.7,5.0,Médio,7420.17,2.3,False,False,False,False,Boa,False
174,3° EF,13,Masculino,False,True,True,False,Parda,Rural,Reprovado,False,96.5,7.5,Baixo,1548.09,2.5,False,False,False,False,Boa,False
175,8° EF,6,Feminino,False,False,False,False,Preta,Urbana,Aprovado,False,84.1,9.1,Médio,6888.29,2.1,False,False,False,False,Ruim,False
176,3° EF,14,Feminino,False,True,True,False,Branca,Rural,Evadido,False,97.1,6.7,Baixo,7607.44,0.4,False,False,False,False,Boa,False
177,9° EF,19,Masculino,False,False,True,False,Branca,Urbana,Aprovado,False,86.1,1.4,Baixo,8189.17,3.8,False,False,False,False,Ruim,False
178,5° EF,8,Masculino,False,False,True,True,Branca,Urbana,Aprovado,False,66.7,5.8,Baixo,9008.02,2.9,False,False,True,True,Regular,True
179,3° EM,19,Masculino,True,True,True,False,Preta,Rural,Aprovado,False,88.1,6.0,Médio,5402.16,2.3,False,True,False,False,Boa,False
180,2° EF,9,Masculino,False,True,True,False,Branca,Urbana,Reprovado,False,90.1,7.8,Muito alto,1871.45,3.6,True,True,False,False,Boa,False
181,5° EF,17,Feminino,False,True,True,True,Branca,Urbana,Aprovado,False,90.1,5.9,Médio,5107.64,5.5,False,False,False,True,Regular,False
182,2° EF,10,Masculino,False,True,True,False,Parda,Urbana,Aprovado,False,98.0,8.1,Alto,4977.2,1.8,False,False,False,False,Boa,False
