id_aluno,etapa_ensino,evasao,sexo,idade,estudante_nis,informou_nome_mae,informou_nome_pai,possui_deficiencia,raca_cor,tipo_localizacao_endereco_estudante,situacao_consolidada_no_ano,repetente,frequencia_escolar,notas_medias,nivel_socioeconomico,renda_familiar,distancia_da_escola_km,trabalha,trabalho_domestico_excessivo,problemas_de_saude,violencia_domestica,gravidez_na_adolescencia,apoio_familiar,comportamento_em_sala,aceitacao_pelos_pares,necessita_assistencia_social,expectativa_retorno,fator_desencadeador_presente,violencia_na_comunidade,engajamento_com_a_escola,infraestrutura_escolar,disponibilidade_material_didatico,flexibilidade_pedagogica,qualidade_pedagogica_percebida,pontuacao_risco,evasao_confirmada
11,1° EF,False,Feminino,6,False,True,True,False,Preta,Rural,Aprovado,False,70.9,5.5,Médio,7834.35,2.3,True,False,True,False,False,Alto,Ruim,Média,False,Alta,False,False,Baixo,Boa,Completa,Baixa,Ruim,0.5302731161566306,False
12,3° EM,False,Outro,12,False,True,False,False,Parda,Urbana,Aprovado,False,73.8,9.5,Médio,4713.92,2.6,False,False,False,False,False,Médio,Regular,Alta,False,Baixa,False,False,Moderado,Boa,Completa,Média,Boa,0.15399802566633763,False
13,1° EM,True,Feminino,11,False,True,True,False,Parda,Urbana,Evadido,False,87.9,6.6,Baixo,2176.34,2.8,False,False,False,False,False,Médio,Regular,Alta,False,Média,False,True,Moderado,Regular,Parcial,Alta,Boa,0.22754195459032578,False
14,3° EF,False,Feminino,16,False,True,True,False,Parda,Rural,Aprovado,False,78.1,5.3,Alto,2903.95,2.5,False,False,False,False,False,Alto,Ruim,Baixa,False,Alta,False,False,Moderado,Regular,Completa,Baixa,Boa,0.34007897334649567,True
15,3° EF,False,Feminino,16,False,True,True,True,Parda,Urbana,Evadido,False,88.7,8.1,Médio,6539.6,1.7,False,False,False,True,False,Médio,Bom,Média,False,Alta,False,False,Moderado,Boa,Completa,Baixa,Regular,0.47861138532411995,False
16,3° EF,False,Masculino,10,False,True,True,False,Preta,Urbana,Aprovado,False,86.0,7.8,Alto,7298.63,2.0,False,False,False,False,False,Médio,Bom,Baixa,False,Média,False,False,Alto,Ruim,Completa,Alta,Boa,0.177690029615005,False
17,4° EF,False,Masculino,12,False,True,True,True,Branca,Urbana,Aprovado,False,84.5,5.0,Muito alto,4913.65,1.7,False,False,False,False,False,Médio,Bom,Alta,False,Média,False,False,Moderado,Boa,Completa,Alta,Regular,0.3232971372161896,False
18,7° EF,False,Masculino,15,False,True,True,False,Parda,Urbana,Em andamento,False,97.0,4.9,Baixo,6066.27,1.5,True,False,False,False,False,Alto,Regular,Baixa,False,Alta,True,False,Moderado,Regular,Completa,Baixa,Boa,0.43106284962158614,False
19,6° EF,False,Masculino,15,True,True,True,False,Parda,Urbana,Aprovado,True,69.1,9.4,Baixo,4778.96,1.3,False,False,False,False,False,Alto,Bom,Média,False,Alta,False,False,Moderado,Boa,Parcial,Alta,Ruim,0.34666008555445876,False
20,4° EF,False,Feminino,14,False,False,False,False,Parda,Rural,Reprovado,False,91.5,8.7,Médio,8270.49,2.5,True,True,False,False,False,Alto,Bom,Alta,False,Alta,False,True,Baixo,Boa,Parcial,Alta,Regular,0.27064823955248446,True
21,8° EF,False,Masculino,7,False,True,False,False,Branca,Urbana,Aprovado,False,98.8,7.9,Alto,5110.31,3.3,False,True,False,False,False,Médio,Bom,Baixa,False,Baixa,False,False,Moderado,Boa,Completa,Média,Ruim,0.10957551826258638,False
22,2° EF,False,Feminino,7,True,True,True,False,Branca,Urbana,Aprovado,False,89.3,6.2,Médio,7853.5,3.2,False,False,False,False,False,Médio,Bom,Média,True,Alta,False,False,Alto,Boa,Completa,Alta,Boa,0.24037512339585396,True
23,4° EF,False,Masculino,11,False,True,True,False,Parda,Urbana,Reprovado,False,98.0,5.9,Médio,7530.82,0.7,False,False,False,False,False,Alto,Regular,Baixa,True,Baixa,False,False,Moderado,Boa,Parcial,Baixa,Ruim,0.21224086870681144,False
24,5° EF,False,Feminino,8,False,True,False,False,Parda,Urbana,Reprovado,False,72.9,6.1,Médio,4413.5,3.3,True,False,False,False,False,Médio,Regular,Baixa,False,Alta,False,False,Alto,Boa,Completa,Baixa,Boa,0.4907864429088517,False
25,6° EF,False,Feminino,17,False,False,False,False,Parda,Urbana,Evadido,False,86.2,7.6,Alto,2974.51,1.7,True,False,False,False,False,Alto,Regular,Média,False,Alta,False,False,Moderado,Regular,Parcial,Média,Regular,0.3511023362948339,True
26,1° EM,False,Feminino,9,False,True,True,False,Parda,Urbana,Aprovado,False,82.2,9.1,Médio,4378.23,2.6,True,False,False,False,False,Médio,Regular,Alta,False,Alta,False,False,Moderado,Ruim,Parcial,Média,Regular,0.29680816057913795,True
27,3° EF,False,Feminino,17,False,True,False,False,Parda,Urbana,Reprovado,False,92.9,8.7,Alto,7729.14,1.1,False,False,False,False,False,Alto,Bom,Baixa,False,Alta,False,False,Alto,Regular,Completa,Baixa,Ruim,0.09921026653504443,False
28,7° EF,False,Outro,10,True,True,True,False,Não declarada,Urbana,Aprovado,False,99.4,7.0,Baixo,2954.95,2.1,True,False,False,False,False,Alto,Ruim,Média,False,Média,False,False,Alto,Boa,Insuficiente,Média,Ruim,0.31556433037183285,False
29,8° EF,False,Feminino,8,True,True,False,False,Parda,Urbana,Aprovado,False,82.1,7.1,Baixo,5322.2,2.3,False,False,True,False,False,Alto,Bom,Alta,False,Alta,False,False,Moderado,Regular,Completa,Baixa,Ruim,0.23149062191510372,True
30,1° EF,False,Masculino,14,True,True,True,True,Parda,Urbana,Aprovado,False,91.3,10.0,Médio,7568.67,0.5,True,False,False,False,False,Médio,Ruim,Média,False,Alta,False,False,Moderado,Boa,Completa,Baixa,Regular,0.20746956235603822,False
31,8° EF,False,Masculino,16,True,True,True,False,Preta,Urbana,Aprovado,False,80.3,5.4,Médio,3958.67,2.6,False,False,False,False,False,Médio,Bom,Baixa,True,Média,True,False,Moderado,Ruim,Completa,Média,Ruim,0.32428430404738406,False
32,3° EF,False,Masculino,12,False,True,False,False,Amarela,Urbana,Reprovado,False,89.4,7.8,Médio,6261.54,3.3,False,False,True,False,False,Médio,Bom,Média,False,Alta,False,False,Baixo,Boa,Completa,Baixa,Ruim,0.16090819348469892,True
33,1° EF,False,Feminino,7,False,False,True,False,Parda,Urbana,Reprovado,True,87.2,7.3,Médio,3098.51,1.8,False,False,False,False,False,Alto,Bom,Alta,False,Alta,False,False,Alto,Ruim,Completa,Alta,Boa,0.3609740046067786,False
34,3° EM,False,Feminino,6,False,True,True,False,Parda,Urbana,Reprovado,False,99.1,4.9,Alto,2010.99,3.4,False,False,False,False,False,Baixo,Ruim,Média,True,Média,False,False,Baixo,Boa,Parcial,Alta,Boa,0.2561697926949655,False
35,3° EM,False,Feminino,13,False,True,True,False,Parda,Urbana,Reprovado,False,90.3,9.5,Baixo,7475.25,1.8,False,False,True,False,False,Médio,Bom,Alta,True,Média,False,False,Alto,Regular,Completa,Alta,Regular,0.0725567620927937,False
36,1° EM,False,Masculino,14,False,True,True,False,Parda,Urbana,Aprovado,False,84.6,6.4,Médio,1928.75,2.8,True,False,False,False,False,Alto,Bom,Alta,False,Alta,False,False,Moderado,Boa,Completa,Baixa,Ruim,0.41822968081605794,False
37,4° EF,False,Feminino,9,False,True,True,False,Parda,Rural,Aprovado,False,77.0,8.8,Médio,3303.88,0.2,False,False,False,False,False,Baixo,Regular,Média,False,Alta,False,False,Alto,Boa,Parcial,Média,Boa,0.1727541954590326,False
38,2° EF,False,Masculino,10,False,True,False,False,Parda,Urbana,Em andamento,False,78.6,8.7,Médio,7959.58,4.4,False,False,False,False,False,Alto,Bom,Alta,False,Alta,False,False,Alto,Ruim,Completa,Baixa,Boa,0.16979269496544921,False
39,9° EF,False,Masculino,7,True,True,False,False,Branca,Urbana,Aprovado,False,81.2,5.6,Médio,3902.77,3.5,False,False,False,False,False,Alto,Ruim,Alta,False,Alta,False,False,Baixo,Ruim,Completa,Alta,Regular,0.30997038499506424,True
40,6° EF,False,Feminino,13,False,True,True,False,Branca,Urbana,Aprovado,False,82.0,7.7,Médio,8900.22,1.7,False,False,True,False,True,Alto,Regular,Média,True,Alta,False,False,Moderado,Boa,Parcial,Alta,Regular,0.20236920039486678,False
41,2° EF,False,Feminino,8,True,True,True,False,Preta,Rural,Aprovado,False,95.7,7.7,Médio,8953.57,0.0,False,False,False,False,False,Alto,Bom,Alta,False,Média,False,False,Baixo,Boa,Completa,Média,Ruim,0.1347482724580454,False
42,6° EF,False,Feminino,17,False,True,True,False,Parda,Rural,Aprovado,False,89.3,9.2,Médio,3279.12,2.3,False,True,False,False,False,Alto,Bom,Baixa,False,Média,False,False,Moderado,Ruim,Completa,Média,Ruim,0.09230009871668318,False
43,1° EF,False,Masculino,10,False,True,True,False,Parda,Urbana,Aprovado,False,88.5,5.1,Baixo,1466.23,0.6,False,False,False,False,False,Alto,Ruim,Média,False,Alta,False,False,Alto,Ruim,Completa,Alta,Regular,0.2986179664363278,False
44,2° EM,False,Feminino,10,False,True,True,False,Parda,Urbana,Em andamento,False,77.0,3.0,Muito baixo,6762.84,2.4,False,False,True,False,False,Baixo,Bom,Alta,False,Média,False,False,Moderado,Boa,Completa,Alta,Boa,0.45903257650542956,False
45,4° EF,False,Feminino,9,False,True,True,False,Parda,Urbana,Aprovado,False,95.9,7.1,Baixo,4736.38,2.4,False,True,False,False,False,Médio,Bom,Média,False,Baixa,False,False,Moderado,Regular,Parcial,Média,Boa,0.1633761105626851,False
46,8° EF,False,Feminino,14,False,True,True,False,Amarela,Rural,Evadido,False,92.7,8.0,Médio,1942.98,1.1,False,False,False,False,False,Alto,Bom,Alta,False,Média,False,True,Moderado,Boa,Parcial,Alta,Boa,0.1347482724580454,False
47,4° EF,False,Masculino,15,False,True,False,False,Amarela,Urbana,Aprovado,False,74.2,6.9,Baixo,6782.46,3.1,False,False,False,False,False,Alto,Bom,Alta,False,Alta,False,False,Alto,Boa,Completa,Baixa,Ruim,0.28035538005923,True
48,7° EF,False,Feminino,10,False,True,False,False,Parda,Urbana,Aprovado,False,92.4,5.9,Muito alto,1388.04,2.8,False,False,False,False,False,Alto,Regular,Alta,False,Alta,False,False,Alto,Boa,Parcial,Alta,Boa,0.23988153998025663,True
49,7° EF,False,Masculino,15,False,True,False,False,Branca,Rural,Aprovado,False,88.9,0.4,Baixo,8079.91,3.0,True,False,False,False,False,Alto,Bom,Baixa,False,Alta,False,False,Moderado,Regular,Completa,Alta,Regular,0.6931556433037185,False
50,3° EF,False,Feminino,11,False,True,True,False,Branca,Urbana,Aprovado,False,75.1,5.1,Baixo,2245.26,2.0,True,True,True,False,False,Baixo,Regular,Alta,True,Alta,False,True,Alto,Regular,Parcial,Baixa,Regular,0.5292859493254362,True
51,3° EM,False,Masculino,10,False,True,False,False,Parda,Urbana,Aprovado,False,87.1,8.3,Médio,2154.81,0.6,False,False,False,False,False,Alto,Bom,Média,False,Alta,False,True,Baixo,Boa,Completa,Alta,Boa,0.14758144126357356,False
52,1° EM,False,Feminino,12,False,True,True,False,Preta,Urbana,Aprovado,False,87.7,5.3,Muito baixo,2540.53,3.0,False,False,False,False,False,Alto,Bom,Alta,True,Alta,False,False,Alto,Regular,Completa,Média,Boa,0.29269496544916096,False
53,3° EM,False,Outro,8,True,True,False,False,Branca,Urbana,Aprovado,False,79.2,6.3,Alto,8798.29,1.7,False,False,False,False,False,Alto,Regular,Alta,True,Alta,True,True,Baixo,Regular,Insuficiente,Alta,Boa,0.2852912142152024,True
54,2° EM,False,Masculino,9,False,True,False,False,Parda,Rural,Aprovado,False,98.3,7.2,Baixo,6667.98,0.6,False,False,False,False,False,Baixo,Ruim,Alta,False,Baixa,False,True,Moderado,Regular,Parcial,Média,Boa,0.1465942744323791,False
55,8° EF,False,Outro,9,True,True,True,False,Branca,Urbana,Aprovado,False,95.7,8.7,Baixo,7530.98,3.4,False,False,False,False,False,Baixo,Regular,Alta,True,Alta,False,False,Moderado,Regular,Completa,Média,Boa,0.08538993089832184,False
56,2° EM,False,Masculino,14,False,True,True,False,Branca,Urbana,Evadido,False,91.6,8.5,Baixo,4310.86,4.1,False,False,False,False,False,Alto,Bom,Média,False,Alta,False,False,Baixo,Boa,Completa,Média,Boa,0.11549851924975325,False
57,2° EF,False,Masculino,15,True,True,True,False,Amarela,Urbana,Aprovado,False,87.2,0.4,Médio,3821.76,2.0,False,False,False,True,False,Baixo,Ruim,Alta,True,Média,False,False,Baixo,Boa,Completa,Alta,Boa,0.8660743665679501,True
58,3° EF,False,Feminino,17,True,False,True,False,Branca,Urbana,Evadido,False,86.1,8.0,Baixo,3009.6,4.2,False,False,False,False,False,Alto,Bom,Baixa,False,Alta,False,False,Alto,Boa,Completa,Média,Ruim,0.16732477788746303,False
59,1° EF,False,Masculino,13,True,False,True,False,Branca,Urbana,Aprovado,False,91.2,8.2,Muito baixo,4972.95,2.1,False,False,False,False,False,Alto,Regular,Alta,False,Alta,False,True,Baixo,Ruim,Completa,Alta,Boa,0.13228035538005928,False
60,4° EF,False,Feminino,15,True,True,True,False,Parda,Urbana,Aprovado,False,89.0,3.6,Médio,5540.68,1.6,False,False,False,False,False,Baixo,Bom,Média,False,Média,False,False,Moderado,Ruim,Completa,Alta,Regular,0.37018756169792705,False
61,5° EF,False,Feminino,11,True,True,True,False,Branca,Urbana,Aprovado,False,73.8,6.1,Muito alto,6178.31,1.4,False,False,False,False,False,Médio,Ruim,Baixa,False,Baixa,False,False,Moderado,Boa,Insuficiente,Baixa,Boa,0.32181638696939785,False
62,4° EF,False,Feminino,14,False,True,True,False,Indígena,Rural,Reprovado,False,88.3,9.7,Baixo,3190.13,3.6,False,True,False,False,False,Alto,Bom,Baixa,True,Baixa,False,False,Alto,Boa,Parcial,Média,Boa,0.07255676209279374,False
63,1° EM,False,Masculino,7,False,True,True,False,Preta,Urbana,Aprovado,False,94.6,9.0,Médio,8705.68,1.2,False,False,False,False,False,Alto,Regular,Baixa,True,Alta,True,False,Alto,Boa,Parcial,Alta,Boa,0.07601184600197437,False
64,5° EF,False,Feminino,8,True,True,True,False,Preta,Urbana,Evadido,False,87.1,9.8,Baixo,2493.36,2.7,True,False,False,False,False,Alto,Regular,Média,False,Média,False,True,Alto,Regular,Completa,Baixa,Regular,0.23807173412306684,True
65,4° EF,False,Masculino,10,False,True,True,False,Preta,Rural,Aprovado,True,72.9,5.0,Alto,8841.26,1.4,True,False,False,False,False,Alto,Ruim,Baixa,False,Baixa,False,False,Moderado,Regular,Parcial,Alta,Ruim,0.7096084238236263,True
66,7° EF,False,Masculino,9,False,True,True,False,Indígena,Rural,Aprovado,False,94.2,5.4,Médio,1257.89,1.5,False,False,False,False,False,Alto,Bom,Alta,False,Alta,False,False,Moderado,Boa,Completa,Alta,Boa,0.25567620927936824,False
67,2° EF,False,Feminino,12,True,True,True,False,Parda,Rural,Aprovado,False,80.4,8.9,Muito baixo,4976.76,3.0,False,False,False,False,True,Alto,Bom,Alta,False,Média,False,False,Moderado,Boa,Insuficiente,Média,Boa,0.15103652517275418,False
68,1° EM,True,Feminino,17,True,True,True,False,Preta,Rural,Evadido,False,68.5,5.0,Muito baixo,1139.52,2.6,True,False,False,False,False,Baixo,Regular,Média,True,Baixa,False,True,Alto,Boa,Insuficiente,Média,Regular,0.5667982889108261,False
69,1° EF,False,Masculino,14,False,True,True,False,Parda,Urbana,Aprovado,False,79.1,8.0,Médio,4721.52,1.6,False,False,True,False,True,Alto,Bom,Alta,True,Alta,False,False,Alto,Regular,Completa,Alta,Regular,0.20187561697926953,True
70,3° EM,False,Outro,7,False,True,False,False,Parda,Urbana,Evadido,False,84.1,8.7,Alto,5690.91,3.1,False,False,True,False,False,Baixo,Regular,Baixa,False,Alta,False,False,Alto,Boa,Completa,Média,Boa,0.14264560710760124,True
71,1° EM,False,Masculino,19,True,True,True,False,Preta,Urbana,Aprovado,False,93.5,5.3,Médio,4613.57,3.6,False,True,False,True,False,Médio,Bom,Baixa,False,Média,False,False,Moderado,Boa,Parcial,Média,Boa,0.5931227377426787,True
72,3° EF,False,Feminino,6,True,True,False,False,Parda,Urbana,Aprovado,False,88.4,4.2,Médio,4448.14,2.6,False,False,False,False,False,Alto,Regular,Média,True,Alta,False,False,Moderado,Regular,Parcial,Média,Boa,0.3435340572556762,False
73,1° EF,False,Feminino,6,True,True,True,False,Indígena,Urbana,Aprovado,True,80.6,8.9,Muito baixo,6983.46,1.3,False,False,False,False,False,Alto,Bom,Média,False,Baixa,False,False,Baixo,Boa,Completa,Alta,Ruim,0.3145771635406384,False
74,1° EM,False,Masculino,7,True,False,False,False,Parda,Rural,Reprovado,False,96.4,2.0,Alto,6609.81,1.5,False,False,False,False,False,Alto,Regular,Média,True,Baixa,False,False,Baixo,Regular,Completa,Média,Boa,0.4126357354392893,False
75,9° EF,False,Masculino,18,False,True,False,False,Parda,Urbana,Reprovado,False,96.4,9.3,Baixo,7785.41,2.1,False,False,False,False,False,Alto,Regular,Alta,False,Média,False,True,Moderado,Boa,Completa,Baixa,Boa,0.052319842053306954,False
76,9° EF,False,Feminino,10,False,True,False,False,Branca,Urbana,Aprovado,False,96.2,0.0,Muito alto,3133.02,2.3,False,False,False,False,False,Alto,Ruim,Média,False,Média,False,False,Moderado,Regular,Completa,Alta,Boa,0.512339585389931,True
77,1° EM,False,Masculino,6,False,True,True,False,Parda,Urbana,Aprovado,False,81.6,8.1,Alto,6000.88,1.0,False,False,False,False,False,Médio,Regular,Baixa,False,Média,True,False,Moderado,Regular,Completa,Alta,Boa,0.1846001974333663,False
78,1° EF,False,Masculino,8,False,True,True,False,Branca,Urbana,Aprovado,False,86.9,5.0,Médio,5806.8,2.7,False,False,True,False,False,Alto,Bom,Alta,True,Média,False,False,Moderado,Ruim,Insuficiente,Média,Boa,0.31145113524185586,True
79,5° EF,False,Masculino,6,True,True,True,False,Não declarada,Rural,Evadido,False,99.5,6.7,Baixo,4088.35,2.1,False,False,False,False,False,Médio,Regular,Média,True,Média,False,True,Moderado,Boa,Insuficiente,Baixa,Boa,0.16535044422507406,False
80,2° EF,False,Feminino,6,False,True,True,False,Branca,Rural,Reprovado,False,93.8,8.7,Médio,5016.1,0.3,False,False,False,False,False,Alto,Ruim,Média,False,Baixa,False,False,Moderado,Boa,Completa,Baixa,Regular,0.09476801579466936,False
81,2° EM,False,Feminino,10,True,True,True,False,Parda,Urbana,Aprovado,False,70.0,5.2,Baixo,3642.06,1.1,True,False,False,False,False,Médio,Regular,Média,False,Média,False,False,Moderado,Boa,Parcial,Média,Ruim,0.5495228693649227,False
82,8° EF,False,Masculino,19,False,True,True,False,Branca,Urbana,Aprovado,False,74.0,5.8,Muito alto,2270.72,1.5,False,True,False,False,False,Médio,Regular,Alta,False,Média,False,False,Alto,Regular,Completa,Média,Boa,0.33563672260612054,False
83,4° EF,False,Masculino,13,True,True,True,False,Branca,Urbana,Aprovado,False,87.2,8.2,Médio,2844.64,1.9,False,False,False,True,False,Alto,Ruim,Baixa,False,Baixa,False,False,Moderado,Ruim,Parcial,Média,Regular,0.481079302402106,False
84,1° EF,False,Masculino,12,False,True,False,False,Branca,Rural,Evadido,False,97.2,5.2,Baixo,1980.96,3.9,False,False,False,False,False,Médio,Regular,Alta,False,Alta,False,False,Alto,Boa,Parcial,Média,Regular,0.25074037512339586,True
85,4° EF,False,Masculino,14,False,True,False,False,Não declarada,Rural,Reprovado,False,88.8,5.2,Alto,6587.43,2.2,False,False,False,False,False,Alto,Regular,Alta,False,Alta,False,False,Moderado,Boa,Insuficiente,Média,Regular,0.2922013820335637,True
86,4° EF,False,Feminino,13,False,True,True,False,Parda,Urbana,Reprovado,False,88.0,4.9,Muito alto,6409.23,1.2,False,False,False,False,False,Médio,Bom,Baixa,True,Alta,False,False,Alto,Regular,Completa,Alta,Ruim,0.31095755182625867,False
87,9° EF,False,Feminino,18,False,True,True,False,Branca,Rural,Reprovado,False,76.5,6.1,Alto,8721.25,2.2,False,True,True,False,False,Médio,Bom,Baixa,False,Alta,False,False,Moderado,Boa,Completa,Média,Ruim,0.3084896347482725,False
88,8° EF,False,Feminino,16,True,True,True,False,Parda,Rural,Evadido,False,91.3,10.0,Médio,6959.17,1.6,False,False,False,False,False,Alto,Bom,Média,False,Alta,False,False,Baixo,Boa,Insuficiente,Alta,Boa,0.04294175715695954,False
89,2° EM,False,Feminino,13,False,True,True,False,Branca,Rural,Aprovado,False,95.0,9.4,Alto,1554.51,2.3,True,False,False,False,False,Médio,Bom,Alta,False,Alta,False,True,Moderado,Boa,Completa,Alta,Regular,0.21882198091477464,False
90,6° EF,False,Masculino,10,False,True,False,False,Parda,Rural,Aprovado,False,85.3,5.6,Muito alto,8191.96,2.6,False,False,False,False,False,Alto,Regular,Média,True,Alta,False,True,Moderado,Regular,Completa,Média,Boa,0.28973346495557756,False
91,2° EF,False,Feminino,8,True,True,True,False,Branca,Rural,Aprovado,False,93.9,6.3,Alto,8019.92,3.2,True,False,False,False,False,Alto,Regular,Alta,False,Alta,False,False,Alto,Boa,Parcial,Média,Boa,0.3772622573214874,False
92,9° EF,False,Outro,13,False,True,False,False,Parda,Urbana,Aprovado,False,98.8,7.9,Muito baixo,4675.23,2.0,False,False,False,False,False,Alto,Bom,Alta,False,Alta,True,True,Alto,Regular,Completa,Média,Ruim,0.10957551826258638,False
93,1° EM,False,Feminino,16,True,True,True,True,Amarela,Urbana,Reprovado,False,80.5,3.2,Baixo,5812.13,3.6,False,False,True,False,False,Alto,Bom,Alta,True,Baixa,False,False,Moderado,Boa,Insuficiente,Baixa,Regular,0.4318854886475814,True
94,7° EF,False,Feminino,9,False,True,True,False,Branca,Urbana,Aprovado,False,88.5,2.9,Baixo,8924.41,2.9,False,True,True,False,False,Alto,Ruim,Baixa,False,Alta,False,False,Alto,Boa,Completa,Alta,Boa,0.4072063178677197,False
95,1° EM,False,Masculino,6,True,True,False,False,Branca,Urbana,Evadido,False,83.0,9.1,Baixo,5384.95,1.3,False,False,False,False,False,Alto,Bom,Alta,False,Média,False,True,Moderado,Boa,Completa,Baixa,Regular,0.1283316880552814,False
96,6° EF,False,Feminino,13,True,True,True,False,Parda,Rural,Aprovado,False,94.3,9.6,Baixo,8360.07,4.2,False,True,False,False,False,Baixo,Regular,Baixa,False,Baixa,False,False,Alto,Ruim,Parcial,Média,Regular,0.04787759131293192,False
97,7° EF,False,Masculino,11,True,True,False,False,Branca,Urbana,Reprovado,False,89.6,6.5,Médio,1801.7,2.3,False,True,False,False,False,Médio,Regular,Média,False,Alta,False,False,Alto,Regular,Completa,Média,Regular,0.2240868706811452,False
98,6° EF,False,Feminino,8,True,True,True,False,Parda,Urbana,Reprovado,False,90.9,7.6,Médio,2663.19,1.2,False,False,True,False,False,Médio,Ruim,Alta,True,Alta,False,False,Alto,Regular,Parcial,Média,Ruim,0.1633761105626851,False
99,1° EF,False,Feminino,7,False,True,True,False,Parda,Rural,Evadido,False,94.4,1.4,Alto,4654.77,3.7,True,True,False,False,False,Médio,Bom,Média,False,Baixa,False,False,Alto,Regular,Completa,Média,Ruim,0.6166502138861469,True
100,2° EF,False,Feminino,6,False,True,True,False,Preta,Urbana,Aprovado,False,85.7,6.2,Baixo,5803.3,4.1,True,False,False,False,False,Alto,Regular,Média,False,Alta,False,False,Alto,Boa,Completa,Alta,Boa,0.4226719315564331,True
101,1° EF,False,Feminino,8,False,True,True,False,Amarela,Urbana,Evadido,False,97.4,7.6,Alto,7649.47,2.0,False,False,False,True,False,Alto,Ruim,Média,True,Alta,False,True,Alto,Ruim,Completa,Média,Boa,0.46034879894702213,False
102,8° EF,False,Feminino,6,True,True,True,False,Branca,Urbana,Aprovado,False,88.7,4.8,Baixo,9021.58,1.5,False,True,False,False,False,Alto,Bom,Baixa,False,Alta,False,False,Baixo,Boa,Completa,Média,Regular,0.3124383020730504,False
103,4° EF,False,Masculino,7,True,True,True,False,Branca,Urbana,Reprovado,False,78.9,2.4,Médio,4240.8,1.8,False,False,False,False,False,Alto,Bom,Alta,False,Alta,False,False,Moderado,Boa,Completa,Baixa,Regular,0.4792694965449161,True
104,7° EF,False,Masculino,19,False,True,True,True,Branca,Urbana,Aprovado,False,92.2,8.6,Baixo,1517.58,2.7,False,False,False,False,False,Médio,Bom,Alta,False,Média,True,False,Moderado,Regular,Parcial,Média,Regular,0.10760118460019745,False
